#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   57529.17807796          2.75          0.78       238.465         0.544       154.671        90.492
   57529.18159218          3.05          1.40       127.865        46.544       266.469       136.491
   57529.18722970          2.65          0.60       192.593         0.062       203.848        89.970
   57529.18863796          5.38          0.21       149.669       -72.145       247.437        17.770
   57529.18894488          2.84          0.68       338.674        22.090        58.405       112.173
   57529.19205083          2.99          0.27        18.015        21.759        20.164       111.845
   57529.20728358          2.41          1.20       246.876        31.732       156.854       121.692
   57529.20925910          3.38          0.60       293.053        44.627       111.424       134.657
   57529.20937604          4.84          0.21       175.958       -31.956       228.484        57.949
   57529.20977823          3.48          0.81        17.566         4.505        27.020        94.592
   57529.21139687          2.76          0.41       108.588        50.858       296.478       140.833
   57529.21140530          2.99          0.73       192.293        47.831       212.892       137.742
   57529.21392147          3.26          2.05       276.398        -0.539       129.676        89.468
   57529.21580654          2.71          0.43       315.953        20.677        90.830       110.738
   57529.22065552          2.77          0.66       242.972        29.469       165.578       119.424
   57529.22220898          3.40          0.91        51.423        18.490       357.630       108.548
   57529.22242663          2.74          0.64        74.373         0.046       334.782        90.073
   57529.22707625          4.74          0.26       350.396       -28.080        60.425        62.012
   57529.23209193          2.98          1.19       191.174         8.818       221.464        98.727
   57529.23265713          2.78          0.59       213.453        13.933       199.397       103.854
   57529.23453896          2.86          1.01         0.110         4.208        53.415        94.298
   57529.24216216          3.38          0.66       175.473        10.118       240.797       100.027
   57529.25059505          2.88          0.26       158.460         0.873       260.857        90.788
   57529.25169429          4.93          0.20       302.898       -23.674       116.781        66.374
   57529.25277295          2.63          1.13        16.453        42.290        43.635       132.374
   57529.25347800          5.07          0.20       274.162       -31.301       146.137        58.703
   57529.25834622          5.46          0.23       147.364       -43.852       274.802        46.068
   57529.25837155          2.84          0.52        52.881        17.349         9.228       107.405
   57529.25910252          3.05          1.50       224.506        34.676       197.920       124.610
   57529.26017480          5.04          0.20        69.086       -27.196       353.740        62.837
   57529.26046528          3.01          0.83       189.809        15.390       233.072       105.300
   57529.26126905          4.62          0.20       222.919       -28.584       200.215        61.346
   57529.26324193          2.54          2.01       116.428        60.960       307.315       150.926
   57529.26469628          3.11          1.35       234.358        57.374       190.153       147.319
   57529.26991804          2.67          0.94       177.974        31.885       248.313       121.796
   57529.27005648          4.98          0.24       210.786       -22.648       215.534        67.271
   57529.27182418          2.94          0.55       128.362        -2.595       298.625        87.350
   57529.27448734          3.06          0.53        61.645        17.863         6.279       107.907
   57529.27877818          4.53          1.48       300.084       -13.848       129.386        76.195
   57529.28439523          2.92          0.29       165.184        -0.183       266.335        89.730
   57529.28677985          5.51          0.27       342.160       -34.277        90.201        55.810
   57529.28704707          4.85          0.20       125.693       -27.763       306.827        62.184
   57529.29275751          2.99          0.33       250.703        52.433       183.935       142.400
   57529.29607047          1.84          1.09       358.808        60.058        76.940       150.142
   57529.29618626          3.06          0.50       286.328        24.802       149.484       114.822
   57529.30421550          2.91          0.98        35.038        30.919        43.613       120.992
   57529.31311938          2.90          2.49       111.459        61.098       330.286       151.071
   57529.31886437          3.42          1.04       147.406        50.065       296.498       139.995
   57529.31907400          2.91          4.67        60.515        28.628        23.489       118.673
   57529.32172028          4.31          0.21       198.936        -9.257       246.049        80.656
   57529.32940166          5.04          0.22        25.682       -47.131        62.130        42.951
   57529.33157051          3.44          0.38        72.882        -7.957        15.685        82.070
   57529.33521929          4.93          0.25        98.730       -33.014       351.199        56.972
   57529.34128003          4.43          0.20       266.183       -15.409       185.842        74.583
   57529.34418245          4.92          0.20       113.958       -69.162       339.367        20.800
   57529.35283075          3.07          0.36       185.714        -2.921       270.506        86.991
   57529.35462332          3.09          0.64       325.294        20.667       131.596       110.735
   57529.35629064          5.09          0.20       234.738       -57.825       222.612        32.122
   57529.35675598          2.77          1.67       319.918        54.299       137.801       144.360
   57529.35842561          2.73          1.15        40.771        58.430        57.392       148.495
   57529.35845222          3.56          3.60       214.188         9.897       244.069        99.823
   57529.35877619          1.73          5.78       225.307        53.128       233.136       143.066
   57529.36217269          2.97          0.98       167.183        -1.324       292.412        88.590
   57529.36703259          5.00          0.28        92.715       -28.321         8.688        61.674
   57529.37101072          3.05          1.46       300.782        41.175       162.067       131.214
   57529.37235491          3.10          0.90        23.782        15.620        79.485       105.698
   57529.37666080          5.66          0.21       258.395       -50.716       206.319        39.266
   57529.38063049          5.37          0.54       209.437       -35.433       256.787        54.488
   57529.38078744          4.41          0.30       132.097        -8.619       334.231        81.322
   57529.38212836          3.35          0.27       255.438         9.367       211.370        99.342
   57529.38951061          3.08          2.85        68.201        73.064        41.020       163.097
   57529.38977863          2.94          0.67        89.386         1.842        20.178        91.843
   57529.39037110          3.16          0.96       254.003        23.998       215.804       113.972
   57529.39412840          2.62          0.67       319.509        35.519       151.663       125.580
   57529.40455681          2.89          1.81       115.125        19.670       359.747       109.634
   57529.41473928          2.94          0.27        65.433        43.208        53.074       133.244
   57529.41887566          2.83          3.41        28.216        77.598        91.686       167.671
   57529.42719317          3.19          0.34       220.185        13.571       262.891       103.505
   57529.43335638          3.01          0.91       213.141         2.415       272.149        92.343
   57529.43435459          2.88          1.56       353.972        25.176       131.687       115.258
   57529.43832519          2.99          1.55         6.377        49.767       120.703       139.848
   57529.44511156          5.16          0.20       319.065       -63.273       170.358        26.797
   57529.45360377          3.34          1.47        40.406        16.006        92.185       106.069
   57529.45386839          5.60          0.31       111.470       -31.794        21.280        58.171
   57529.45921983          3.43          0.23       296.805        -0.831       197.820        89.208
   57529.46095508          2.96          1.18       160.588        50.646       334.633       140.569
   57529.46164251          2.79          0.98       264.602         7.249       230.907        97.241
   57529.46197816          5.39          0.30        41.927       -56.480        93.794        33.584
   57529.46466664          3.77          0.27       193.955        -9.728       302.632        80.188
   57529.46637243          3.65          0.60        64.056        36.410        73.105       126.446
   57529.46663105          4.55          0.66       294.609       -16.630       202.669        73.406
   57529.46836556          5.18          0.26        92.037       -28.364        45.945        61.629
   57529.46852703          4.86          0.23       350.930       -72.824       147.026        17.265
   57529.47026529          5.47          0.23         2.177       -35.006       136.446        55.081
   57529.47469007          2.69          0.84        24.766        56.561       115.399       146.635
   57529.48044094          3.25          0.20        96.523        24.518        45.733       114.507
   57529.48083359          2.86          0.46        62.877        14.490        79.540       104.526
   57529.48310679          2.89          0.40       325.297         8.655       177.962        98.724
   57529.48362200          2.95          0.64       342.390        10.458       161.053       100.538
   57529.48511050          2.95          0.88       152.889        40.379       351.054       130.305
   57529.48670427          2.77          1.18       225.859        14.687       278.702       104.628
   57529.48711594          5.67          0.20       276.736       -39.627       227.887        50.386
   57529.48889562          2.99          2.50       296.549        71.981       209.014       162.016
   57529.49167968          3.23          0.22       128.323         8.784        18.016        98.729
   57529.49243032          2.83          1.75       157.736        43.283       348.852       133.207
   57529.49639178          2.90          0.61       232.743        28.376       275.336       118.326
   57529.49804880          3.36          1.84       175.505        37.129       333.135       127.046
   57529.50626363          2.97          1.32       120.780         9.130        30.822        99.084
   57529.50896053          3.01          0.79       203.990        10.174       308.597       100.097
   57529.51534154          3.12          0.52       184.309         3.561       330.577        93.475
   57529.52453877          4.86          0.23       205.737       -29.231       312.444        60.691
   57529.52676637          2.86          0.47         9.933        -0.473       149.083        89.609
   57529.53149637          2.99          1.11       112.427        -4.963        48.303        85.000
   57529.54616289          2.96          1.43       327.361        17.619       198.666       107.690
   57529.54742530          3.09          0.59         7.703        41.350       158.758       131.430
   57529.54885992          3.08          0.25       148.233        16.204        18.743       106.130
   57529.55014899          3.10          1.31       334.658         9.995       192.801       100.072
   57529.55530946          4.14          0.20       198.349       -12.947       330.956        76.971
   57529.56312990          2.91          0.33        32.027        32.466       140.086       122.533
   57529.56685384          2.71          0.99       283.579         2.299       249.903        92.323
   57529.56915023          3.16          0.20       225.158        36.269       309.195       126.212
   57529.57227260          3.21          0.20       228.837        11.309       306.610       101.256
   57529.57256596          3.28          0.20       293.740        35.140       241.855       125.176
