#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   55348.70284280          4.02          0.29       311.247        -4.136       281.700        85.906
   55348.71203100          3.13          0.83        68.148        19.108       168.108       109.125
   55348.71508503          5.28          0.20       143.965       -17.323        93.419        72.623
   55348.71517425          4.24          0.21       253.031       -10.336       344.357        79.651
   55348.71820759          3.36          0.38       170.099         0.589        68.400        90.529
   55348.71973140          3.40          0.56       172.586        28.336        66.461       118.278
   55348.72413918          4.19          0.50       229.643        -9.729        10.984        80.236
   55348.72588595          5.37          0.20       338.860       -26.677       262.403        63.382
   55348.72852314          3.38          1.43       172.695        28.336        69.526       118.278
   55348.72975847          3.27          0.32        88.283        15.717       154.375       105.713
   55348.73120347          3.35          0.48        58.434        26.559       184.736       116.585
   55348.73164882          5.19          0.60        15.928       -77.144       227.531        12.916
   55348.73403247          3.08          1.50       123.657        19.655       120.542       109.618
   55348.73514684          3.48          0.44       117.298        -1.192       127.321        88.775
   55348.73586753          3.24          0.68        67.633         1.669       177.245        91.686
   55348.73638679          4.01          1.24       182.854       -13.304        62.204        76.635
   55348.73674714          4.58          0.20       116.270       -57.547       129.011        32.419
   55348.73881051          3.36          0.53       280.308         6.175       325.630        96.190
   55348.74335419          4.76          0.87       156.950       -14.732        90.632        75.208
   55348.74789486          5.63          0.20        20.090       -25.898       229.143        64.158
   55348.75552398          3.33          0.85        24.264        32.056       227.692       122.107
   55348.75884047          3.19          0.74       337.952         4.997       275.216        95.054
   55348.76185604          4.71          0.28        86.161       -18.460       168.121        71.538
   55348.76319054          3.04          0.47        93.395        11.874       161.336       101.865
   55348.76410213          3.61          0.55        15.456        55.298       239.586       145.351
   55348.76853830          3.53          0.47       170.948         3.107        85.719        93.045
   55348.77009741          3.32          0.92       226.907        30.277        30.347       120.240
   55348.77598682          5.13          0.20        70.021       -42.168       189.397        47.847
   55348.77774187          4.40          0.25       199.921       -18.999        60.058        70.943
   55348.78078688          3.47          0.28       191.158        11.661        69.932       101.602
   55348.78416546          5.26          1.59       167.439       -36.060        94.876        53.874
   55348.78417287          3.62          1.13       264.479         9.569       357.838        99.566
   55348.78844590          3.50          0.33       220.572        22.858        43.296       112.815
   55348.79022700          3.47          0.73       215.252        -2.820        49.239        87.131
   55348.79662073          5.52          0.52       278.936       -59.088       347.759        30.928
   55348.79965480          4.70          0.20        77.927       -15.165       189.997        74.842
   55348.80360670          3.20          0.43       321.423        20.595       307.916       110.644
   55348.80608134          3.88          0.20       130.943        -7.322       139.287        82.632
   55348.81874028          4.28          0.69       332.344       -13.382       302.439        76.676
   55348.82139413          3.29          0.48       144.688        15.590       131.053       105.537
   55348.82218205          5.13          0.82       270.537       -11.095         5.479        78.909
   55348.82254854          3.26          0.80        69.405        20.073       206.744       110.090
   55348.82348510          5.20          0.95        40.710       -15.993       235.811        74.052
   55348.82718894          3.45          0.44       290.296        -1.141       347.538        88.884
   55348.83491487          3.36          0.42       253.089        32.279        27.572       122.264
   55348.83684958          3.62          0.26       123.941        40.161       157.349       130.124
   55348.83807074          4.71          0.88       232.950       -19.510        48.794        70.454
   55348.84087044          3.29          0.44       237.539        42.179        45.283       132.148
   55348.84535198          3.08          1.26       343.589         2.107       300.808        92.168
   55348.84858851          3.09          0.44       319.920        60.015       325.708       150.061
   55348.85044881          5.49          0.37       156.008       -44.451       130.251        45.485
   55348.85319753          3.48          0.37        71.764        54.496       215.388       144.512
   55348.85501775          5.35          0.39        11.507       -27.383       276.390        62.680
   55348.85627919          3.00          2.37        92.142        55.865       196.115       145.860
   55348.85878861          5.31          0.20        97.579       -37.118       191.722        52.869
   55348.86574590          5.00          0.20       238.021       -28.497        53.701        61.470
   55348.86795734          3.57          0.73        99.345         3.285       193.213        93.271
   55348.87434721          3.14          0.90        35.732         0.938       259.136        90.988
   55348.88199387          3.10          0.80       134.108        -6.074       163.524        83.878
   55348.88290637          3.34          0.77        81.267        23.044       216.665       113.051
   55348.90029340          3.34          0.42       279.688         0.319        24.537        90.332
   55348.90042358          3.50          0.56       293.556        79.523        11.015       169.547
   55348.90414367          3.32          0.67       121.551        49.554       184.011       139.521
   55348.90536872          3.52          0.23        33.966        17.568       272.089       107.619
   55348.90920314          3.24          0.78       338.308        24.164       329.148       114.222
   55348.91718678          3.32          0.30       158.344        51.526       151.957       141.469
   55348.91972300          3.64          0.48       341.554       -12.572       329.686        77.491
   55348.92081067          5.26          0.50       212.302       -15.816        99.320        74.128
   55348.92308501          3.42          0.35       164.434         3.107       148.023        93.044
   55348.92660056          3.31          0.69       342.533        36.489       331.207       126.547
   55348.93046815          3.82          0.35       340.178        -0.181       334.944        89.880
   55348.93077527          4.62          0.25       259.509       -31.900        55.678        58.089
   55348.93160398          3.38          1.37       307.164        61.827         8.457       151.863
   55348.93174389          5.13          0.20        36.720       -30.949       278.892        59.103
   55348.93777860          5.35          0.20       152.534       -12.573       165.235        77.367
   55348.94245698          5.17          0.21        98.634       -21.541       220.847        68.447
   55348.95094106          3.71          0.75        45.305        51.697       277.156       141.740
   55348.95427586          3.47          0.94       313.010        52.200        10.764       142.241
   55348.96048284          5.52          0.31        68.768       -10.766       257.207        79.257
   55348.96302294          3.25          1.57       262.335        25.679        64.565       115.670
   55348.96519966          3.16          0.97       342.499        42.490       345.179       132.548
   55348.96543360          4.76          2.36       287.447       -11.351        40.281        78.669
   55348.96595403          5.49          0.28       251.481       -47.302        76.377        42.677
   55348.96649521          3.60          0.96       139.780        10.888       188.342       100.838
   55348.96775972          5.56          0.72       260.956       -36.567        67.573        53.423
   55348.96823205          3.29          1.78       259.110        16.904        69.658       106.891
   55348.97353556          5.39          0.38       316.721       -48.192        13.894        41.859
   55348.97792252          3.01          0.37        39.102        36.858       293.126       126.906
   55348.98473615          3.23          0.55        60.765        51.167       273.885       141.198
   55348.98575896          3.25          0.43       173.532        24.962       161.545       114.899
   55348.98772015          3.42          0.79       202.128        16.673       133.665       106.613
   55348.98797631          3.17          0.59       340.271        38.788       355.629       128.846
   55349.00036007          3.12          0.54       261.305         6.105        79.048        96.093
   55349.00079604          4.44          1.39       228.775       -15.859       111.716        74.095
   55349.01460097          3.17          0.44        81.511        24.690       263.959       114.701
   55349.02332787          3.13          1.22       280.820        67.197        67.965       157.205
   55349.02654998          3.65          0.62       151.955        24.438       197.838       114.383
   55349.02662814          3.53          0.35       176.656        24.706       173.175       114.643
   55349.02912186          4.13          0.70       268.099        -6.325        82.623        83.670
   55349.03884010          3.25          0.86       225.301        -4.228       128.934        85.724
   55349.04599523          5.29          0.37        59.386       -50.161       297.514        39.875
   55349.04668535          3.31          0.77       164.606        -3.690       192.470        86.247
   55349.05251565          3.41          0.43        68.972        10.786       290.202       100.811
   55349.05441564          3.16          0.71       194.987        -0.627       164.875        89.309
   55349.06322103          3.10          0.60        96.250         9.933       266.789        99.929
   55349.06370295          3.18          0.68       179.285        53.298       183.925       143.237
   55349.06674425          4.96          0.20       172.597       -78.579       191.772        11.352
   55349.07378993          3.52          0.78       126.712         1.817       240.149        91.781
   55349.07516071          3.88          0.68        41.912         3.546       325.445        93.595
   55349.07674579          3.27          0.35       243.721        16.487       124.217       106.455
   55349.08115226          5.85          0.27       137.814       -30.524       231.733        59.428
   55349.08155553          3.47          0.56       177.197        39.090       192.459       129.029
   55349.08687731          4.45          0.83       218.377        -8.615       153.197        81.332
   55349.08724057          4.67          0.71       216.672       -15.232       155.029        74.712
   55349.08779910          3.67          0.47       326.212        33.892        45.729       123.940
   55349.09048525          3.19          0.87       181.248        23.806       191.635       113.744
   55349.09136435          3.37          1.34        98.653        31.285       274.517       121.280
   55349.09157902          3.39          0.20       156.469        71.379       216.727       161.327
   55349.10699824          3.18          0.59       276.347        30.301       102.532       120.302
   55349.10864898          5.07          0.29        55.431       -19.746       324.036        70.294
   55349.11141124          3.20          1.13       272.264        45.090       108.233       135.086
   55349.11764933          3.57          0.24       132.110        44.166       250.538       134.130
   55349.11986095          3.49          1.70       350.505        39.574        33.000       129.632
   55349.12416715          3.54          0.70       196.746        26.645       188.302       116.584
   55349.12419360          3.10          0.39        96.406        38.192       288.605       128.191
   55349.12690391          3.32          0.99       111.014        -5.419       275.029        84.562
   55349.13336166          5.09          0.20       282.982       -16.418       105.359        73.591
   55349.13956521          3.16          0.45       108.082        24.847       282.498       114.833
   55349.13957567          4.53          0.46        50.232       -12.420       340.390        77.624
   55349.14060470          3.50          0.99       113.617         2.222       277.363        92.201
   55349.15239463          4.82          1.02        14.594       -23.270        20.649        66.793
   55349.15447689          3.42          0.31        64.494        11.654       331.487       101.685
   55349.16504933          5.22          0.65       157.725       -46.565       242.109        43.375
   55349.17400757          3.18          0.49       193.487        11.764       209.549       101.703
   55349.18277086          5.97          0.32       335.000       -31.677        71.180        58.378
   55349.18511221          5.00          0.20       127.730       -20.140       279.338        69.825
   55349.18527565          3.33          1.25       224.261        57.998       182.896       147.952
   55349.18627766          3.29          1.18       232.819        67.986       174.745       157.945
   55349.18923021          3.22          0.43       301.902        72.731       106.795       162.754
   55349.19050093          3.13          0.81       260.894        20.599       148.113       110.583
   55349.19472413          3.48          0.87       196.513         8.143       214.000        98.083
   55349.19803885          3.18          0.36       233.032        44.316       178.716       134.275
   55349.20202986          3.43          0.39       203.544         0.502       209.605        90.443
   55349.20251167          4.58          1.17       152.018       -13.165       261.317        76.782
   55349.20375017          3.35          0.83       162.968        20.039       250.797       109.984
   55349.20734861          3.46          0.42       226.579        38.556       188.519       128.511
   55349.21381097          3.60          1.14       356.344        -9.678        61.061        80.382
   55349.21629700          5.08          1.75        31.987       -18.219        26.329        71.836
   55349.21737866          4.00          0.50       333.678        14.333        85.023       104.382
   55349.21800469          3.86          0.37        78.695        -8.289       340.238        81.728
   55349.21846808          5.39          0.20       116.686       -32.103       302.440        57.872
   55349.22370713          3.24          0.78       231.068         6.790       189.910        96.747
   55349.23022853          3.36          0.66       211.714         4.321       211.616        94.267
   55349.23487731          3.46          0.32       343.649        -7.150        81.359        82.905
   55349.24130117          4.09          0.92       309.892        24.244       117.455       114.275
   55349.24288429          3.15          0.68       243.317         4.874       184.582        94.842
   55349.24734112          5.32          0.20        77.601       -56.171       352.002        33.846
   55349.25216858          3.03          0.84        99.632        22.251       331.600       112.247
   55349.25454083          3.78          0.46       188.412        -2.201       243.693        87.739
   55349.25591142          3.85          0.39       141.294        -7.282       291.317        82.674
   55349.25842524          3.19          0.42        44.089        38.597        29.398       128.641
   55349.25949780          3.15          0.88       156.144        15.251       277.746       105.201
   55349.26258130          3.62          0.90       267.149        22.233       167.880       112.223
   55349.26741685          3.30          0.38        41.103        19.712        35.646       109.758
   55349.27371723          3.71          0.40       106.141        68.761       332.755       158.753
   55349.27416573          5.06          0.20        80.303       -18.949       358.914        71.066
   55349.27700440          3.44          1.48       174.411        29.076       265.798       119.021
   55349.28234446          3.41          0.78        25.923        -7.685        56.228        82.369
   55349.28507167          4.09          0.22       169.997        43.210       273.117       133.157
   55349.28601971          3.32          0.76        26.205         6.143        57.268        96.197
   55349.28661059          3.02          3.01       222.104        53.956       221.620       143.911
   55349.28949516          3.58          0.57        77.307        60.121         7.334       150.139
   55349.29095176          3.74          0.57       285.981        -9.754       159.256        80.256
   55349.29684522          3.57          0.64       344.377        -7.162       103.000        82.892
   55349.29920701          3.40          0.49       134.094         7.030       314.136        96.994
   55349.30532700          3.37          1.05        26.722        37.837        63.707       127.887
   55349.30568911          4.84          0.76        93.944       -24.618       356.660        65.382
   55349.31991843          3.55          0.37        25.089        22.765        70.616       112.816
   55349.33085352          3.20          0.40       151.862        47.622       307.762       137.578
   55349.33198185          4.71          0.42       218.536       -13.205       241.515        76.746
   55349.33486317          5.47          0.28       150.710       -61.309       310.454        28.639
   55349.33671148          4.47          0.42        83.419       -13.157        18.370        76.853
   55349.33898767          3.16          1.00        72.099        10.126        30.490       100.147
   55349.34253666          3.32          0.48       102.988        59.456         0.800       149.450
   55349.34563442          5.59          1.57       265.323       -26.040       199.636        63.951
   55349.35352920          3.24          0.37       205.505        49.931       262.355       139.882
   55349.36031100          4.54          0.27       236.776       -15.574       233.496        74.391
   55349.36138420          3.17          1.09        97.384         3.275        13.295        93.271
   55349.36423459          3.24          0.87       135.348         6.517       336.355        96.480
   55349.36743109          4.91          0.76       342.744       -15.725       130.110        74.327
   55349.36812799          3.43          0.25       180.133        68.342       292.964       158.291
   55349.36831679          4.29          1.53        54.349        -8.700        58.843        81.335
   55349.37009222          3.26          1.10       291.147        33.835       182.704       123.849
   55349.37620978          3.16          0.79       147.744         3.868       328.284        93.823
   55349.38366807          3.53          0.40        62.098        16.456        56.615       106.484
   55349.38864111          3.12          0.50        64.678        25.884        55.821       115.909
   55349.39072948          3.24          0.95       188.991        -1.115       292.277        88.829
   55349.39186690          3.21          2.28       101.385        47.069        20.244       137.062
   55349.39669726          5.70          0.20       255.888       -30.518       227.499        59.466
   55349.39869062          3.12          0.57       262.058        57.204       222.160       147.193
   55349.40008032          3.34          0.20       176.158        33.767       308.482       123.715
   55349.40079264          4.66          0.22        86.486       -12.235        38.434        77.771
   55349.40386509          3.74          0.54       168.753        -6.086       317.260        83.860
   55349.40411661          5.04          0.44        24.078       -18.761       102.035        71.291
   55349.41586242          5.13          0.65       107.269       -15.199        23.093        74.786
   55349.42466360          3.51          0.53         7.610        38.850       125.909       128.900
   55349.43151156          5.02          0.20        34.221       -39.122       101.800        50.926
   55349.44099307          5.33          0.38        42.650       -24.638        96.786        65.404
   55349.44351346          3.64          0.66        77.781        19.303        62.531       109.316
   55349.44405587          5.88          0.22       306.040       -39.706       194.438        50.327
   55349.44998656          3.37          0.53       196.040         2.219       306.619        92.166
   55349.45020477          3.53          0.51       243.128        14.487       259.618       104.460
   55349.45585811          3.31          1.08       165.125         1.587       339.655        91.535
   55349.45818669          6.13          0.29       340.094       -35.952       165.513        54.101
   55349.45996109          3.25          0.33        96.174        17.721        50.076       107.716
   55349.46341442          3.34          0.60       148.292         2.196       359.217        92.150
   55349.46617110          5.10          0.20       116.718       -10.729        31.799        79.246
   55349.47019065          3.80          0.20       103.107        53.659        46.784       143.649
   55349.47185042          3.30          1.49       145.256        54.953         5.256       144.913
   55349.47475494          3.22          1.40       172.140        17.948       339.459       107.895
   55349.48635381          4.88          0.20       116.657       -12.762        39.147        77.212
   55349.48751846          3.64          0.29       293.893         3.367       222.315        93.388
   55349.49614355          4.98          0.20       212.224       -12.518       307.089        77.435
   55349.49923228          3.54          0.66       254.727        43.759       265.753       133.744
   55349.50028072          5.48          0.20       354.723       -23.878       166.092        66.178
   55349.50955895          5.60          0.20       128.913       -57.237        35.324        32.724
   55349.51687693          3.39          0.21       149.747        18.937        17.053       108.891
   55349.52187392          3.69          1.13        69.145         5.986        99.466        96.004
   55349.52440659          4.98          0.39        70.236       -12.463        99.307        77.554
   55349.52482552          4.22          0.20        71.322        13.864        98.348       103.879
   55349.53169786          4.09          0.20       134.342       -12.407        37.827        77.553
   55349.53192949          3.55          1.03       268.214        -9.446       264.013        80.554
   55349.53975723          3.43          1.59       156.796        22.714        18.264       112.665
   55349.54328405          3.89          0.50       236.272        -7.273       300.057        82.697
   55349.54415919          5.49          0.20       114.451       -46.158        62.262        43.815
   55349.54782590          4.96          0.37       205.252       -28.622       332.710        61.327
   55349.55048111          4.83          0.90       168.333       -16.235        10.607        73.709
   55349.55455118          4.71          0.31       315.288       -22.087       225.102        67.955
   55349.56281613          3.18          0.32       322.023        52.272       221.406       142.312
   55349.56396095          3.66          0.91        54.214        17.905       129.581       107.934
   55349.56819863          3.42          0.77       255.323        29.748       290.035       119.735
   55349.57049993          3.51          0.55       279.286         1.081       266.875        91.092
   55349.57398122          3.60          0.24       222.856        48.382       324.602       138.345
   55349.57649069          3.01          0.81       162.348        64.558        25.950       154.509
   55349.57843679          3.34          0.35        11.644        37.265       177.379       127.315
   55349.57888486          3.52          0.40        18.130        -0.909       171.065        89.142
   55349.57989400          3.70          1.03       287.430        -7.514       262.115        82.505
   55349.58157081          3.21          0.65        12.602         5.863       177.561        95.915
   55349.58332398          3.36          0.38       295.935        -1.896       254.853        88.131
   55349.58840530          3.78          0.30       300.912       -13.714       251.701        76.317
   55349.59155510          3.64          0.48       329.031         3.378       224.735        93.426
   55349.59238374          4.60          0.20       141.407       -15.938        52.669        74.014
   55349.59481409          4.48          0.55       230.745       -17.371       324.177        72.595
   55349.59932214          3.20          1.36       121.099        -4.142        75.477        85.825
   55349.60151534          4.05          0.25       129.849        -7.502        67.521        82.458
   55349.60698167          3.66          0.36        91.289        28.194       108.021       118.189
   55349.60783882          4.37          0.30       275.435       -13.762       284.190        76.246
   55349.62159815          3.54          0.63       125.191         1.362        79.422        91.326
   55349.62190477          3.29          0.39       122.731        26.824        81.972       116.791
   55349.62338022          5.39          0.31       134.297       -28.530        70.980        61.425
   55349.62554116          6.06          0.20       278.902       -45.001       287.070        45.013
   55349.63465350          3.44          0.21       195.339        15.556        13.986       105.503
   55349.63573287          3.95          1.52       310.470        16.550       259.252       106.588
   55349.63882567          3.49          0.98       155.816        11.985        55.010       101.932
   55349.64050272          3.45          0.51        19.903        -0.529       191.535        89.522
   55349.64555611          3.36          1.70       192.064        14.578        21.196       104.524
   55349.64675692          3.36          0.23       353.876        56.773       219.821       146.825
   55349.65094881          5.38          0.31        25.869       -38.414       189.365        51.637
   55349.65210027          3.25          1.81       199.822        -3.568        15.795        86.379
   55349.65372258          3.60          1.08       271.974        -8.783       304.219        81.223
   55349.66027326          5.63          0.27       138.237       -25.852        80.354        64.099
   55349.66089613          3.86          0.64        54.656        -8.033       164.153        81.996
   55349.67877751          3.79          0.70       166.636        -7.576        58.617        82.365
   55349.68164435          3.66          0.65       245.797        36.270       340.523       126.250
   55349.68234782          5.83          1.93        86.967       -70.252       139.752        19.744
   55349.68337358          3.43          0.60       333.498        16.826       253.418       106.878
   55349.68496282          5.13          0.20       271.171       -20.578       316.286        69.428
   55349.69332594          3.35          0.47        75.352        13.063       155.144       103.072
   55349.71201957          4.97          0.20       274.561       -22.166       322.661        67.844
   55349.71761409          5.77          0.21       238.822       -33.619         0.407        56.353
   55349.71785082          4.59          0.81       307.336       -11.410       292.008        78.630
   55349.72085058          3.63          0.53        52.494        59.308       187.871       149.338
   55349.72297596          3.69          0.51        56.810        33.614       184.368       123.641
   55349.73563450          3.32          0.35        94.013        38.569       151.722       128.561
   55349.74069594          5.13          0.20       260.853       -35.580       346.700        54.416
   55349.74073937          3.25          0.39       313.484        36.754       294.161       126.796
   55349.74180378          5.09          0.20       104.998       -42.215       143.063        47.761
   55349.74383499          3.56          0.42        31.929        -8.095       216.817        81.953
   55349.74684042          5.41          0.95       182.376       -31.752        67.439        58.185
   55349.74797574          5.74          0.78         0.356       -24.073       249.880        65.989
   55349.74870691          3.17          0.41       154.258         6.177        96.236        96.120
   55349.74905709          3.37          0.28       224.849         0.910        25.768        90.870
   55349.75243937          3.25          1.08       337.276        46.883       274.586       136.937
   55349.75282521          3.14          0.31        34.580        37.897       217.378       127.942
   55349.75320190          5.17          0.20       183.174       -65.072        68.921        24.862
   55349.75482565          3.83          0.89        78.918        49.834       173.722       139.841
   55349.76153329          5.04          0.40       289.929       -21.852       325.169        68.174
   55349.76320855          4.01          0.28       140.619        -7.126       115.117        82.822
   55349.76425406          3.44          0.42       324.311        -2.751       291.793        87.301
   55349.76503242          3.49          2.77       320.563        41.050       295.853       131.096
   55349.77807126          3.45          0.29       107.970         8.518       153.122        98.495
   55349.78180777          4.98          0.20         1.944       -24.365       260.505        65.698
   55349.79048829          4.14          0.31       274.250       -10.015       351.312        79.994
   55349.79130766          5.37          0.20       307.343       -18.213       318.512        71.829
   55349.79469757          3.06          0.41         0.657        10.222       266.441       100.283
   55349.79780505          3.31          1.07       119.421        47.072       148.747       137.040
   55349.80084542          3.09          1.49       214.017        62.331        55.364       152.285
   55349.80356630          3.31          0.32        49.180        62.209       221.035       152.244
   55349.80492741          3.99          0.69       118.350        66.785       152.326       156.755
   55349.81250944          3.30          0.71         0.118        33.663       273.408       123.723
   55349.82528190          3.32          0.41        27.155        48.668       250.951       138.719
   55349.82555227          3.47          0.34       338.373        13.483       299.866       103.542
   55349.82612760          3.41          1.04       157.637        22.542       120.798       112.484
   55349.82733229          4.10          0.36       270.608        -5.508         8.258        84.496
   55349.82822416          3.34          2.99       194.214        55.281        85.009       145.224
   55349.82955109          4.02          0.94       213.544        22.035        66.145       111.985
   55349.83200076          3.29          1.54        78.908        14.766       201.644       104.774
   55349.84540951          3.82          0.44       309.239        13.996       336.173       104.037
   55349.84814529          3.25          0.29       218.934        59.572        67.520       149.527
   55349.84824267          3.27          0.34       131.147        62.478       155.198       152.437
   55349.85311841          5.50          0.20       121.007       -19.320       167.202        70.642
   55349.85519883          3.78          0.37       150.534        -3.850       138.406        86.092
   55349.86704425          3.47          0.66       106.248        18.288       186.949       108.267
   55349.87471804          3.96          0.60       173.479         3.690       122.503        93.626
   55349.88221378          3.45          0.42       308.140        39.011       350.585       129.049
   55349.88565186          3.29          0.51       351.260        46.284       308.679       136.344
   55349.88672204          5.39          0.40       243.368       -21.838        56.919        68.134
   55349.88941846          3.27          3.39        72.118        57.632       229.084       147.649
   55349.89637172          4.03          0.86        58.377         1.630       245.427        91.662
   55349.90611589          4.77          0.38       160.841       -13.529       146.481        76.407
   55349.90669884          3.12          0.62        90.387        20.637       217.122       110.634
