#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   55695.22478043          2.89          0.69       235.162        22.930       167.241       112.886
   55695.22542887          3.99          1.84       268.541        17.131       134.096       107.123
   55695.23009350          3.00          1.67       224.563        13.783       179.746       103.730
   55695.23339128          4.64          0.20       308.720       -28.824        96.743        61.215
   55695.23539406          4.22          0.25       325.561       -25.043        80.638        65.010
   55695.23685220          2.80          1.11       114.989         8.633       291.749        98.609
   55695.23707176          3.00          0.87       340.458         1.387        66.368        91.447
   55695.24525541          2.84          0.65       244.297        -2.719       165.473        87.247
   55695.24652846          3.19          0.52       249.421        17.176       160.830       107.146
   55695.24679468          4.72          2.14       177.617       -27.084       232.717        62.847
   55695.24805645          3.08          0.57       163.915        48.162       246.845       138.103
   55695.25093838          2.96          2.21        89.248         3.381       322.582        93.386
   55695.25297494          4.02          0.20       207.068       -12.385       205.486        77.552
   55695.25334541          3.75          0.20        23.548       -14.712        29.160        75.350
   55695.25400495          2.90          0.40       267.093        10.357       145.851       100.347
   55695.25508116          5.76          0.60        80.371       -41.224       333.017        48.790
   55695.25555661          2.74          0.37       106.023        -3.536       307.481        86.450
   55695.25888940          5.58          0.48       138.894       -42.712       275.850        47.237
   55695.26309127          4.58          0.20       309.985       -72.737       106.055        17.306
   55695.26534816          2.68          1.97       187.375        66.272       229.654       156.209
   55695.26591440          2.66          1.73        93.613        32.181       323.586       122.183
   55695.26721131          2.90          0.45       136.476        42.870       281.184       132.829
   55695.27026707          2.83          1.05       102.765        49.848       315.971       139.841
   55695.27070627          3.28          0.77       160.668        -9.776       258.300        80.162
   55695.27392459          3.42          1.35       157.693        30.360       262.415       120.303
   55695.27785980          2.94          0.30       352.879        23.472        68.677       113.533
   55695.27854247          2.81          0.55       137.467         0.258       284.327        90.213
   55695.27871546          4.62          0.36        88.340       -25.462       333.552        64.542
   55695.27910905          3.29          0.54       102.851        28.614       319.116       118.606
   55695.27949098          4.50          0.28       260.159       -33.333       161.930        56.650
   55695.28185204          2.77          0.66        61.195        14.301         1.786       104.336
   55695.28494315          3.13          0.29        33.875        15.049        30.226       105.104
   55695.28645910          2.94          2.59       244.928        23.307       179.743       113.273
   55695.28689866          2.90          0.93       337.993        14.326        86.827       104.381
   55695.28995448          5.16          1.58       113.894       -54.510       312.111        35.464
   55695.29357687          2.97          0.73       231.414        14.931       195.814       104.885
   55695.30033654          5.26          0.91       208.945       -63.069       220.653        26.870
   55695.30194457          3.01          2.06       312.177         9.651       118.073        99.688
   55695.30357666          3.04          0.52       232.734        21.796       198.110       111.752
   55695.30697993          4.82          0.31       176.513       -34.094       255.550        55.839
   55695.31134278          3.07          0.82        18.116         7.172        55.521        97.233
   55695.31409825          4.59          0.20        94.526       -18.268       340.129        71.729
   55695.31652853          4.94          0.33       300.314       -39.134       135.143        50.895
   55695.31782495          3.00          0.61        63.253       -27.563        12.757        62.469
   55695.31835704          3.00          3.06       255.314        55.815       180.932       145.792
   55695.32057978          3.00          0.65       181.506        10.749       255.459       100.684
   55695.32132017          4.21          0.20       273.358       -21.219       163.849        68.780
   55695.32178292          3.43          0.34       145.700        -9.642       291.710        80.306
   55695.32307932          4.95          0.23       339.327       -35.578        98.527        54.481
   55695.32828769          3.43          0.45        25.705        -9.819        54.056        80.239
   55695.33208424          2.95          0.24       276.526        -2.127       164.590        87.874
   55695.33403983          4.48          1.37       131.136       -41.009       310.738        48.948
   55695.34116934          4.47          0.31       123.147       -38.299       321.301        51.666
   55695.34241992          3.27          0.39       232.963        -6.127       211.879        83.830
   55695.34559043          3.22          0.24       161.606       -25.726       284.401        64.212
   55695.34810226          2.91          0.86       196.575        31.135       250.333       121.074
   55695.34981512          5.13          0.77        17.065       -20.733        70.468        69.328
   55695.35089199          2.96          0.21       222.719        -4.122       225.184        85.828
   55695.35204916          4.25          1.57        13.716       -16.131        74.621        73.930
   55695.35279016          2.83          3.56       225.243        55.144       223.404       145.097
   55695.35394728          4.87          0.31       349.579       -43.893        99.423        46.170
   55695.35490807          2.79          0.29       281.159        22.583       168.224       112.588
   55695.35510443          2.60          2.68       121.867        -3.008       327.570        86.961
   55695.35912053          3.04          0.67       253.993        -6.725       196.876        83.252
   55695.36046340          2.83          1.72       254.872        -4.229       196.485        85.749
   55695.36434101          2.95          0.66       244.144         3.466       208.620        93.433
   55695.36655200          3.19          0.41       350.306        14.711       103.265       104.769
   55695.37497742          3.08          0.61       311.068        -1.447       145.536        88.589
   55695.38149378          4.60          0.20       336.969       -42.559       121.965        47.499
   55695.39320617          2.92          0.43       323.168        37.172       140.048       127.215
   55695.39929448          2.90          0.95       206.838        64.933       258.586       154.879
   55695.40023148          2.82          0.79       111.494        57.980       354.140       147.964
   55695.40108809          2.88          0.22       216.379        16.344       249.657       106.292
   55695.40333439          3.44          0.97        90.093       -19.762        16.776        70.239
   55695.40532488          2.96          0.38        20.913        21.783        86.646       111.839
   55695.40599553          4.93          2.27       135.841       -67.571       332.073        22.382
   55695.40765086          2.72          0.70       356.846        49.259       111.567       139.316
   55695.40782421          2.94          0.63       212.341         7.552       256.121        97.497
   55695.40931720          4.30          0.78       262.287       -70.346       206.533        19.644
   55695.40956111          3.05          0.71        28.751        19.935        80.335       109.988
   55695.41122735          2.76          1.14       203.570        29.850       266.128       119.793
   55695.41554440          4.69          0.23       354.413       -26.280       116.835        63.781
   55695.41644779          3.71          0.20       137.857       -10.611       333.728        79.344
   55695.42220020          5.11          0.36       324.533       -37.778       149.090        52.272
   55695.42361138          3.74          2.53        87.912        50.594        26.183       140.601
   55695.42713066          5.18          0.20       105.719       -56.659         9.810        33.323
   55695.43485065          3.46          0.20       156.718       -12.098       321.506        77.845
   55695.43944558          2.29          1.61       308.201        81.560       171.999       171.590
   55695.43946759          3.65          0.24       137.450       -17.835       342.450        72.120
   55695.44421339          3.66          1.28       318.924        48.377       162.721       138.416
   55695.44772039          2.93          1.74         2.156        33.754       120.713       123.811
   55695.44779016          4.41          0.20       184.417       -59.138       298.463        30.798
   55695.44858837          5.24          0.48       174.320       -30.864       308.860        59.073
   55695.45987302          2.85          0.43       332.113        18.603       155.150       108.652
   55695.46213020          4.58          0.20       298.202       -68.997       189.718        21.033
   55695.46465390          4.89          0.35        68.395       -30.967        60.622        59.055
   55695.46633138          2.87          0.80       117.694        25.666        11.866       115.641
   55695.46804510          5.01          2.04       296.692       -33.982       193.470        56.045
   55695.47108811          3.16          1.16       321.082        18.189       170.231       108.232
   55695.47608875          3.54          0.35       336.504       -82.312       156.424         7.748
   55695.47769692          3.06          0.57        25.583        48.670       108.083       138.722
   55695.48148148          5.24          0.59       230.938       -36.558       264.074        53.402
   55695.48539406          2.84          0.55       238.840        17.880       257.636       107.846
   55695.48691005          4.80          0.80       168.333       -36.919       328.687        53.019
   55695.48878530          2.84          0.36       335.565         6.195       162.128        96.247
   55695.49035906          4.98          0.31        71.994       -50.621        66.340        39.396
   55695.49321788          3.02          0.84       210.261         4.526       289.025        94.473
   55695.49750042          3.07          1.00        26.710        26.081       114.118       116.132
   55695.50032481          4.86          1.43       278.658       -47.549       223.127        42.461
   55695.50305597          3.34          0.29       155.383       -10.871       347.462        79.072
   55695.50453791          3.12          0.48       124.027        20.899        19.331       110.867
   55695.50570678          5.27          0.50        99.135       -59.649        44.770        30.338
   55695.50643586          4.58          0.21        84.560       -29.444        59.539        60.559
   55695.50869213          2.83          0.63       141.108        -0.213         3.767        89.740
   55695.51049797          5.09          0.23       340.657       -60.578       164.837        29.481
   55695.52196793          2.90          0.36        31.867        11.303       117.799       101.351
   55695.52483811          4.58          1.39       178.049       -22.106       332.652        67.832
   55695.52848402          3.04          0.60        50.221        -8.443       101.811        81.594
   55695.52944557          4.93          0.57       292.368       -57.113       219.908        32.913
   55695.53130889          5.22          0.27       118.133       -49.079        34.970        40.888
   55695.53166763          3.65          0.20       129.093       -15.212        24.089        74.747
   55695.53196777          2.93          0.40       238.515        22.445       274.777       112.413
   55695.53818329          4.52          0.20        66.368       -66.691        89.293        23.331
   55695.54076391          4.59          0.20       334.941       -32.620       181.497        57.436
   55695.54460683          2.83          0.45       192.955        10.367       324.883       100.308
   55695.55071806          5.44          0.41       210.162       -34.384       309.856        55.563
   55695.55152887          2.96          0.39       153.949        -8.723         6.392        81.221
   55695.55235049          4.91          0.53       268.727       -31.128       251.866        58.872
   55695.55517377          4.53          0.26       181.006       -36.745       340.643        53.192
   55695.55741973          4.66          0.51       222.499       -12.138       299.952        77.818
   55695.55819470          2.76          0.49        16.329        46.604       146.403       136.657
   55695.55854207          2.91          0.38       239.959         5.066       282.911        95.036
   55695.56185189          4.24          0.63       214.399       -17.066       309.650        72.884
   55695.56487291          5.14          0.31       199.389       -59.413       325.721        30.528
   55695.56495370          4.98          0.72       335.328       -35.489       189.841        54.567
   55695.56686367          4.05          1.22       339.667       -26.514       186.199        63.543
   55695.57071824          2.84          0.80       277.437         0.966       249.826        90.974
   55695.57086821          4.75          1.63       321.487       -64.845       205.756        25.207
   55695.57650534          3.49          0.29       268.491        26.215       260.888       116.213
   55695.57702552          4.84          1.00        61.425       -39.589       108.168        50.437
   55695.57832249          4.84          0.53       211.729       -51.488       318.232        38.460
   55695.58054456          4.61          0.29       170.225       -69.965         0.603        19.971
   55695.58372720          4.65          0.49        69.566       -29.525       102.434        60.492
   55695.58625065          5.40          0.46        71.762       -41.830       101.169        48.185
   55695.58724547          3.15          1.18        92.771        -6.835        80.472        83.158
   55695.59108822          3.00          0.27       257.030        53.624       277.660       143.611
   55695.59260475          2.74          0.78       329.040        17.786       206.136       107.835
   55695.59775530          3.90          1.30       138.380       -11.263        38.653        78.688
   55695.60071773          4.86          0.44        22.616       -25.584       155.497        64.470
   55695.60628531          2.85          0.82       297.131        19.323       242.989       109.350
   55695.60687525          2.81          0.41       148.268         8.361        32.045        98.308
   55695.60880831          2.96          0.72       198.881        27.353       342.141       117.297
   55695.61219997          2.76          1.33       226.042        37.617       316.226       127.577
   55695.61384262          3.20          0.32        89.983         6.195        92.848        96.191
   55695.61434119          3.28          0.20       110.089       -14.032        72.941        75.942
   55695.61717631          4.68          0.20       158.410       -25.577        25.634        64.362
   55695.61747725          4.94          4.15         4.007       -25.301       180.146        64.760
   55695.61806788          4.67          0.26       278.509       -67.151       265.699        22.864
   55695.61979214          3.06          0.77        82.482        39.600       102.455       129.605
   55695.62009265          4.53          0.31        75.366       -18.543       109.749        71.468
   55695.62416691          2.97          0.94       340.855        11.555       205.709       101.610
   55695.62531252          2.67          0.54        99.832        26.804        87.116       116.790
   55695.62965322          2.94          0.23       196.473        71.081       352.114       161.026
   55695.62989593          3.14          0.63       157.869        -8.902        30.760        81.039
   55695.63041760          2.89          1.19        60.991         7.234       127.823        97.258
   55695.63175968          4.63          0.21       117.203       -74.676        72.298        15.288
   55695.63208420          4.18          0.23       275.163       -29.456       274.217        60.553
   55695.63432909          2.87          0.56        98.901        11.849        91.318       101.835
   55695.63788304          4.14          0.35        40.894       -69.960       150.749        20.084
   55695.64260436          3.01          0.58       159.575        20.855        33.632       110.798
   55695.64294071          2.96          3.74       126.970        20.187        66.351       110.147
   55695.64332256          5.27          0.92        98.392       -67.343        95.235        22.640
   55695.65032495          3.08          0.41       202.490        -2.668       353.507        87.276
   55695.65039399          2.93          0.77       102.400        65.898        93.505       155.884
   55695.65282492          5.56          0.62       268.765       -34.065       288.093        55.939
   55695.65357715          2.98          1.36        71.278        30.601       125.870       120.616
   55695.65483885          3.54          1.72       322.604         8.865       235.033        98.914
   55695.65634311          3.14          3.71       299.327        58.475       258.927       148.503
   55695.65821872          4.14          0.84       345.659       -74.224       213.161        15.841
   55695.65846133          2.71          0.80       312.626        11.757       246.321       101.799
   55695.66109959          5.05          0.51       235.254       -36.688       324.592        53.279
   55695.66361112          4.09          0.27       328.892       -20.349       231.896        69.706
   55695.66556796          2.67          0.42       295.353        52.875       266.218       142.901
   55695.66716438          4.37          0.20        51.596       -32.512       150.524        57.522
   55695.66790544          2.98          1.01       168.719         7.721        33.627        97.659
   55695.66882057          5.02          1.66        33.893       -48.500       168.836        41.549
   55695.67210656          3.26          0.31        99.881        -3.218       103.992        86.766
   55695.67355368          3.12          2.81        87.310         5.869       117.076        95.867
   55695.67526653          5.31          3.21        79.863       -27.545       125.181        62.458
   55695.67715369          3.16          0.45        49.677         6.673       156.010        96.708
   55695.67838023          3.07          0.67       194.644        56.949        11.509       146.893
   55695.68099618          3.01          0.28        75.818        26.869       131.231       116.879
   55695.68147067          3.98          0.23        40.188       -10.926       167.071        79.117
   55695.69402829          4.38          0.26       182.448       -67.291        29.304        22.643
   55695.69458346          4.25          0.22       274.893       -31.819       297.043        58.192
   55695.69533662          4.69          0.20        68.305       -39.831       144.003        50.185
   55695.69535991          4.97          0.27       173.607       -49.231        38.650        40.702
   55695.69707214          2.68          0.41         0.524        14.057       212.355       104.117
   55695.70132002          3.28          2.70       259.670         5.931       314.742        95.923
   55695.70233860          4.66          0.29       145.000       -65.188        69.846        24.752
   55695.70285892          3.19          0.34       210.061        -9.029         4.894        80.918
   55695.70773154          2.89          0.23       356.875        11.254       219.853       101.314
   55695.71531323          3.38          0.58       235.505        -5.748       343.946        84.220
   55695.71781334          2.98          1.09       216.802        56.044         3.616       145.998
   55695.71899354          5.22          0.52       331.417       -29.197       249.360        60.862
   55695.72085686          2.83          0.59       326.952         2.671       254.513        92.725
   55695.72583344          4.70          1.09       166.645       -58.696        56.626        31.237
   55695.72665595          4.59          0.51       237.942       -45.264       345.550        44.707
   55695.73039353          3.18          1.92       182.696        62.729        42.219       152.669
   55695.73664384          2.84          0.41        53.907         3.493       173.258        93.524
   55695.74038225          4.83          1.13        34.134       -68.368       194.493        21.683
   55695.74420167          3.17          0.28       152.309        42.571        77.558       132.515
   55695.74517409          4.22          0.24        79.461       -19.463       150.809        70.541
   55695.74684037          3.03          0.39       113.425        17.358       117.404       107.327
   55695.75022074          2.73          2.13       303.887        11.179       288.184       101.217
   55695.75142373          2.95          0.20        77.153        50.014       155.276       140.023
   55695.75165559          5.26          0.31       135.239       -45.818        97.386        44.128
   55695.75307919          2.90          1.57        84.009        39.490       149.040       129.491
   55695.75361184          2.79          0.83        14.099        -2.772       219.194        87.288
   55695.75388991          3.30          0.49       142.864         6.195        90.521        96.140
   55695.75452632          2.79          1.13       117.184        80.584       116.123       170.554
   55695.76265152          4.79          0.20       338.343       -68.464       258.165        21.603
   55695.76983845          4.35          2.30       317.250       -18.634       281.881        71.418
   55695.77318289          3.03          0.89        38.884        11.715       201.464       101.761
