#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56757.65664312          3.10          0.24       308.079        44.255       216.982       134.299
   56757.66026274          3.09          1.74       349.230        34.504       177.092       124.575
   56757.66443074          4.68          0.30       347.395       -23.584       180.419        66.489
   56757.66646352          4.93          0.20       225.871       -54.165       302.591        35.786
   56757.67046525          4.81          0.20       252.520       -55.788       277.361        34.195
   56757.67089370          3.22          1.38       202.304        -1.474       327.837        88.456
   56757.67654551          3.01          0.55       305.595        30.233       226.628       120.276
   56757.67862394          5.59          0.31        95.330       -30.651        77.654        59.334
   56757.68652525          2.64          0.69       116.747        33.376        59.000       123.339
   56757.68663774          4.95          0.31       225.400       -31.194       310.391        58.755
   56757.68801784          4.46          0.20       221.589       -33.896       314.699        56.050
   56757.69563970          4.60          3.52       310.117        18.339       228.984       108.388
   56757.69595597          4.89          0.22        50.600       -26.912       128.631        63.129
   56757.69877375          3.04          1.18        76.109        29.459       104.064       119.473
   56757.70004315          3.12          1.44       317.390        19.002       223.299       109.057
   56757.70131733          2.88          0.68        41.383         0.195       139.752        90.246
   56757.70260736          2.99          0.73       302.448        30.410       239.185       120.450
   56757.71156459          3.16          0.48        25.389         7.432       159.441        97.496
   56757.71181020          5.16          0.20       194.010       -24.954       350.892        64.972
   56757.71267020          3.13          0.60       278.263        65.217       267.123       155.227
   56757.71418644          3.41          0.22        17.819        23.195       167.950       113.263
   56757.71672485          5.24          0.21       168.286       -68.485        18.419        21.437
   56757.71705434          2.95          0.73       154.156        80.561        32.465       170.494
   56757.71751057          2.75          0.64       158.407        16.767        28.558       106.694
   56757.71888620          2.73          0.41       121.117        50.062        66.280       140.020
   56757.73045773          4.88          0.23       123.088       -17.524        68.580        72.426
   56757.73046337          3.05          0.49       323.076        -3.958       228.576        86.105
   56757.77302330          5.32          0.22       187.135       -75.026        19.798        14.897
   56757.77915954          2.69          1.14        60.783         1.191       148.450        91.221
   56757.79324488          3.27          0.31       277.007        11.788       297.322       101.802
   56757.79337510          2.91          0.77       260.669        33.154       313.740       123.144
   56757.79606061          2.90          1.76       283.278        21.888       292.082       111.909
