#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   57891.43494957          3.14          1.17       310.736        28.663       171.959       118.718
   57891.43948176          4.96          0.20       303.622       -52.848       180.570        37.205
   57891.44647506          3.46          0.66       298.117        31.236       188.748       121.275
   57891.44648185          4.57          0.91       234.847       -76.083       251.653        13.865
   57891.44661434          3.11          0.37        72.562        80.162        53.840       170.190
   57891.44851692          2.87          1.14       353.451        10.353       134.111       100.441
   57891.44923516          2.98          0.34       348.363        38.867       139.470       128.952
   57891.45047426          3.01          0.52       180.171        22.426       308.090       112.336
   57891.46141130          2.97          1.25       293.967        70.937       198.474       160.970
   57891.46332554          3.07          0.60       242.630        22.419       250.300       112.377
   57891.46359774          2.90          0.72       237.586         2.855       255.414        92.806
   57891.46737029          2.79          0.23       136.928        48.865       357.367       138.801
   57891.46802251          2.95          0.94        33.407        35.166       101.162       125.239
   57891.46999887          2.84          0.46       178.131        49.357       317.174       139.270
   57891.47017925          3.24          0.89        34.246        33.276       101.103       123.347
   57891.47127687          3.20          0.40       332.685         3.131       163.091        93.211
   57891.47129539          3.55          0.34       188.293         3.937       307.485        93.847
   57891.47362207          2.77          1.10       329.617        13.541       167.013       103.617
   57891.47869773          3.22          2.16       204.484        35.474       293.990       125.393
   57891.48275281          4.49          0.20        97.011       -59.705        43.066        30.279
   57891.48373834          2.78          0.86       152.492         5.946       347.775        95.865
   57891.48764808          3.56          3.09       152.972        55.805       348.652       145.728
   57891.48779794          2.68          0.43        68.672        47.417        72.981       137.448
   57891.48959282          5.22          0.39       149.270       -30.853       353.142        59.065
   57891.49056522          3.02          0.79       102.678        52.757        39.950       142.738
   57891.49981670          3.19          0.37        38.129        51.784       107.883       141.851
   57891.50716189          3.39          0.71       143.377         7.887         5.343        97.813
   57891.51015876          4.48          0.22        19.929       -16.532       129.894        73.552
   57891.51200157          2.86          2.10       329.181        22.512       181.312       112.587
   57891.51251854          3.17          0.49       318.618        -5.254       192.037        84.814
   57891.51265073          4.15          0.20       159.964       -74.005       350.842        15.905
   57891.51448844          4.96          0.44       226.355       -65.679       284.856        24.259
   57891.51632185          5.15          0.20        38.409       -54.027       113.713        36.043
   57891.52375361          2.83          3.36       161.865        51.126       352.818       141.043
   57891.52970348          2.95          0.41       130.879        -4.192        25.992        85.745
   57891.53142847          5.57          1.74        30.177       -57.061       127.392        33.017
   57891.53668068          2.96          0.20       233.746         0.655       285.632        90.603
   57891.54575448          3.05          0.30        64.142         6.290        98.513        96.325
   57891.54767370          5.11          0.20       101.450       -28.262        61.954        61.713
   57891.55141600          5.70          0.20       191.848       -37.275       332.833        52.634
   57891.55170236          2.89          0.40       327.171        67.645       197.746       157.717
   57891.55255056          2.95          0.55       203.622        -1.675       321.485        88.243
   57891.55984112          2.85          0.25       210.949         1.327       316.791        91.250
   57891.56092789          3.10          0.49       237.044         4.129       291.092        94.082
   57891.56247030          3.28          0.78       192.363        55.445       336.357       145.360
   57891.56364876          5.62          0.39       111.940       -33.355        57.236        56.604
   57891.56844206          2.94          2.37       187.635        79.643       343.283       169.558
   57891.56905193          3.15          0.21       178.970        54.875       352.097       144.788
