#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56401.40310580          4.10          0.24       105.023       -11.401       337.595        78.580
   56401.40529214          5.24          0.20        97.111       -66.811       346.457        23.178
   56401.41520523          4.78          0.20        82.285       -19.684         4.714        70.326
   56401.42625134          5.62          0.27       275.575       -64.199       175.226        25.808
   56401.42629231          4.65          0.41        32.694       -76.008        58.446        14.055
   56401.43831267          5.05          0.20       295.612       -27.181       159.664        62.848
   56401.45201594          5.56          0.25       346.232       -27.535       114.020        62.534
   56401.47851418          4.57          0.20       190.642       -66.722       279.143        23.205
   56401.48570745          5.32          0.23       161.975       -35.558       310.458        54.371
   56414.43157459          3.20          1.58        51.834        20.732        53.842       110.777
   56414.43192887          5.40          0.28       231.414       -63.720       234.283        26.234
   56414.43358770          5.08          0.35        75.363       -22.898        31.090        67.120
   56414.43798227          3.43          0.73       102.716        10.329         5.279       100.314
   56414.43801071          5.05          0.20       321.644       -71.901       146.233        18.158
   56414.43890611          6.03          1.36       277.340       -47.681       190.916        42.328
   56414.43927288          2.65          1.38       290.484        50.268       178.065       140.286
   56414.43946566          4.80          0.20        34.622       -62.664        74.005        27.396
   56414.44259589          3.03          0.75       123.949        49.118       345.653       139.083
   56414.44267064          3.16          0.64       288.939        25.424       180.788       115.442
   56414.44361777          3.06          0.37       141.136        56.400       328.833       146.349
   56414.44412491          4.13          0.20        32.860        -9.270        77.374        80.789
   56414.44514235          3.30          0.64        58.185        14.555        52.394       104.593
   56414.44805351          5.13          0.20       246.596       -35.209       224.992        54.760
   56414.44929081          4.89          0.22       355.217       -27.450       116.871        62.621
   56414.44935432          2.51          1.01       280.163         0.841       191.945        90.850
   56414.44949205          2.91          0.49       250.963        46.996       221.262       136.968
   56414.44957441          3.09          0.89       131.419         1.651       340.770        91.604
   56414.45065671          3.05          0.46        14.816         1.682        97.768        91.749
   56414.45138677          3.23          0.83       184.256        40.402       288.585       130.332
   56414.45207061          3.13          0.91       282.748         1.549       190.342        91.561
   56414.45413858          4.94          0.20       129.388       -37.699       344.493        52.253
   56414.47391874          2.70          0.43        12.127        58.398       108.837       148.464
   56414.47678674          3.23          0.57        86.455         3.297        35.558        93.301
   56414.47871296          3.42          0.20        75.910        -5.228        46.809        84.788
   56414.48364042          2.73          0.52       269.399        -2.306       215.081        87.691
   56414.48469618          2.83          1.10       311.717        68.076       173.283       158.117
   56414.48901090          3.04          0.59       148.743        47.334       337.640       137.277
   56414.48937756          3.28          0.46       156.503        16.321       330.044       106.257
   56414.49393595          3.16          0.29       264.712        19.444       223.511       109.434
   56414.49487039          3.01          1.96       201.278        49.580       287.284       139.515
   56414.50052269          2.81          0.50       152.243        -4.236       338.339        85.700
   56414.50372991          4.99          0.26       306.892       -65.480       184.722        24.567
   56414.50481146          3.13          1.09         7.684        39.452       124.444       129.518
   56414.51039954          2.79          2.09       345.054        54.394       149.122       144.457
   56414.51300170          2.95          1.55       120.832         9.399        14.245        99.362
   56414.51433274          2.97          1.61        39.689        22.077        95.865       112.129
   56414.51661855          2.81          0.64       274.183        15.263       222.224       105.266
   56414.52088169          5.53          0.21       337.546       -45.217       160.361        44.850
   56414.52155461          3.12          0.42       337.070        39.407       161.128       129.468
   56414.52157844          2.80          0.65       256.590         6.592       241.595        96.575
   56414.52304072          3.04          0.33       117.676        30.822        20.998       120.791
   56414.52601973          3.27          0.94        14.230         9.839       125.557        99.905
   56414.52625922          4.82          0.20       323.672       -49.372       176.153        40.687
   56414.52641378          3.48          1.41        23.020        -3.495       116.914        86.567
   56414.52871275          2.85          1.60       205.416         8.959       295.341        98.895
   56414.53265506          3.01          0.26         5.782        46.278       136.397       136.344
   56414.53546763          2.92          1.72       255.641        59.775       247.663       149.756
   56414.54315088          4.41          0.20       303.052       -14.535       202.902        75.504
   56414.54496319          3.00          0.31        90.847        13.116        55.764       103.113
   56414.55619802          2.69          0.68       232.503        22.497       278.194       112.454
   56414.55825166          2.94          0.61       293.407        76.712       218.275       166.735
   56414.56405670          3.33          0.30       178.470        10.856       335.042       100.785
   56414.56768823          3.03          0.54       328.926        -2.237       185.902        87.822
   56414.57805654          2.99          0.38        69.760        24.698        88.785       114.719
   56414.57872822          3.10          0.72       292.393         9.448       226.428        99.474
