#  MJD_start[days]  MJD_stop[days]
   55739.35719907   55739.55802083
   55739.55866898   55739.83910879
   55739.84070601   55740.17408564
   55740.17474537   55740.50832175
   55740.50879629   55740.84218749
   55740.84284722   55741.17623842
   55741.17688657   55741.51027777
   55741.51094907   55741.84434027
   55741.84508101   55742.17849537
   55742.17914351   55742.51270833
   55742.51319444   55742.84677083
   55742.84725694   55743.09547453
   55743.11192129   55743.44531249
   55743.44635416   55743.77978009
   55743.78048611   55744.11387731
   55744.11452546   55744.14383101
   55744.14449074   55744.47788194
   55744.47853009   55744.81193287
   55744.81258101   55745.14597222
   55745.14660879   55745.48018518
   55745.48065972   55745.81421296
   55745.81468750   55746.14809027
   55746.14874999   55746.48231481
   55746.48278935   55746.81635416
   55746.81682870   55747.15020833
   55747.15084490   55747.48422453
   55747.48487268   55747.81846064
   55747.81932870   55748.15274305
   55748.15378472   55748.48734953
   55748.48821759   55748.82162037
   55748.82237268   55749.15594907
   55749.15681712   55749.49038194
   55749.49124999   55749.82481481
   55749.83709490   55750.17065972
   55750.17113425   55750.50453703
   55750.50527777   55750.83868055
   55750.84256944   55751.17613425
   55751.17666666   55751.51023148
   55751.51075231   55751.84415509
   55751.84480324   55752.17836805
   55752.17884259   55752.51240740
   55752.51289351   55752.84628472
   55752.84693287   55753.18033564
   55753.18104166   55753.51461805
   55753.51508101   55753.84865740
   55753.85087962   55754.18427083
   55754.18497685   55754.51835648
   55754.51914351   55754.85254629
   55754.85319444   55755.18675925
   55755.18723379   55755.52079861
   55755.52133101   55755.85489583
   55755.85537037   55756.18892361
   55756.18939814   55756.52278935
   55756.52429398   55756.85767361
   55756.85840277   55757.19181712
   55757.19246527   55757.52601851
   55757.52650462   55757.85988425
   55757.86053240   55758.11074074
   55758.11167824   55758.44506944
   55758.44571759   55758.51722222
   55758.51805555   55758.85143518
   55758.85207175   55759.18546296
   55759.18612268   55759.51967592
   55759.52013888   55759.85370370
   55759.85418981   55760.18774305
   55760.18821759   55760.52180555
   55760.52228009   55760.85568287
   55760.85633101   55761.18971064
   55761.19097222   55761.52436342
   55761.52501157   55761.85840277
   55761.85905092   55762.19261574
   55762.19310185   55762.52664351
   55762.52712962   55762.78937499
   55763.93356481   55764.26711805
   55764.26765046   55764.60120370
   55764.60168981   55764.93525462
   55764.93572916   55765.26910879
   55765.26974537   55765.60332175
   55765.60379629   55765.93719907
   55765.93789351   55766.27145833
   55766.27193287   55766.60548611
   55766.60596064   55766.93934027
   55766.93998842   55767.27354166
   55767.27401620   55767.60756944
   55767.60810185   55767.94146990
   55767.94243055   55768.27598379
   55768.27681712   55768.56320601
   55768.75123842   55768.80018518
   55768.98898148   55769.32253472
   55769.32340277   55769.65695601
   55769.65782407   55769.99120370
   55769.99189814   55770.05259259
   55770.09238425   55770.42577546
   55770.42649305   55770.76004629
   55770.76057870   55771.09414351
   55771.09472222   55771.42827546
   55771.42879629   55771.76234953
   55771.76287037   55772.05748842
   55772.05953703   55772.39309027
   55772.39361111   55772.72717592
   55772.72769675   55773.06107638
   55773.06177083   55773.39515046
   55773.39584490   55773.72938657
   55773.72990740   55774.06331018
   55774.06399305   55774.39755787
   55774.39807870   55774.73164351
   55774.73216435   55775.06554398
   55775.06622685   55775.39961805
   55775.40031250   55775.73386574
   55775.73438657   55775.93675925
   55775.97502314   55776.30840277
   55776.30944444   55776.64299768
   55776.64369212   55776.97724537
   55776.97792824   55777.06458333
   55777.06539351   55777.39895833
   55777.39965277   55777.73304398
   55777.73377314   55778.06716435
   55778.06782407   55778.40138888
   55778.40186342   55778.73540509
   55778.73587962   55779.06925925
   55779.06990740   55779.40328703
   55779.40393518   55779.73750000
   55779.73797453   55780.07136574
   55780.07200231   55780.40539351
   55780.40642361   55780.73981481
   55780.74045138   55781.07402777
   55781.07450231   55781.40805555
   55781.40853009   55781.74192129
   55781.74255787   55782.07612268
   55782.07659722   55782.22614583
   55782.23305555   55782.56662037
   55782.56709490   55782.90048611
   55782.90114583   55783.12526620
   55783.13329861   55783.46668981
   55783.46733796   55783.80089120
   55783.80136574   55784.13493055
   55784.13539351   55784.46898148
   55784.46945601   55784.80284722
   55784.80348379   55785.13686342
   55785.13751157   55785.47090277
   55785.47155092   55785.80512731
   55785.80736111   55786.14091435
   55786.14138888   55786.47494212
   55786.47718749   55786.81057870
   55786.81123842   55787.14461805
   55787.14527777   55787.47865740
   55787.47931712   55787.81270833
   55787.81335648   55788.14673611
   55788.14737268   55788.48092592
   55788.48140046   55788.81478009
   55788.81548611   55789.14887731
   55789.14951388   55789.48307870
   55789.48355324   55789.81693287
   55789.81758101   55790.15096064
   55790.15165509   55790.48521990
   55790.48569444   55790.81907407
   55790.81972222   55791.15327546
   55791.15374999   55791.48711805
   55791.48776620   55791.82115740
   55792.17780092   55792.51135416
   55792.51182870   55792.84520833
   55792.84584490   55793.17939814
   55793.17986111   55793.51341435
   55793.51388888   55793.84726851
   55793.84790509   55794.18146990
   55794.18194444   55794.51532407
   55794.51597222   55794.84935185
   55794.84998842   55795.18336805
   55795.18400462   55795.51768518
   55795.51815972   55795.85153935
   55795.85217592   55796.18557870
   55796.18621527   55796.51998842
   55796.52045138   55796.85384259
   55796.85450231   55797.18788194
   55797.18851851   55797.52206018
   55797.52253472   55797.85608796
   55797.85657407   55798.19012731
   55798.19060185   55798.52416666
   55798.52468749   55798.85807870
   55798.85872685   55799.19210648
   55799.19274305   55799.52648148
   55799.52695601   55799.86034722
   55799.86098379   55800.19453703
   55800.19501157   55800.52855324
   55800.52902777   55800.86243055
   55800.86306712   55801.19665509
   55801.19712962   55801.53050925
   55801.53114583   55801.86453703
   55801.86517361   55802.19855324
   55802.19918981   55802.53258101
   55802.53322916   55802.86678240
   55802.86725694   55803.20064814
   55803.20128472   55803.53484953
   55803.53532407   55803.86870370
   55803.86934027   55804.20289351
   55804.20337962   55804.40892361
   55804.41708333   55804.48042824
   55804.57940972   55804.79475694
   55804.92540509   55805.25880787
   55805.25944444   55805.59283564
   55805.59349537   55805.92687499
   55805.92931712   55806.22388888
   55806.40427083   55806.73784722
   55806.73831018   55807.07187500
   55807.18315972   55807.51653935
   55807.51759259   55807.85098379
   55807.85168981   55808.18506944
   55808.18571759   55808.51927083
   55808.51974537   55808.85312500
   55808.85386574   55809.18743055
   55809.18795138   55809.52134259
   55809.52269675   55809.85608796
   55809.85673611   55810.19012731
   55810.19077546   55810.52416666
   55810.52487268   55810.85842592
   55811.19078703   55811.52417824
   55811.52539351   55811.85878472
   55811.85943287   55812.19282407
   55812.19347222   55812.52685185
   55812.52766203   55812.86105324
   55812.86170138   55813.19508101
   55813.19571759   55813.52928240
   55813.52975694   55813.86314814
   55813.86379629   55814.19717592
   55814.19782407   55814.53137731
   55814.53185185   55814.86523148
   55814.86627314   55815.19983796
   55815.20070601   55815.53428240
   55815.53474537   55815.86831018
   55815.86878472   55815.96468750
   55815.98980324   55816.32336805
   55816.32384259   55816.65738425
   55816.65785879   55816.99124999
   55816.99189814   55817.32531249
   55817.32594907   55817.65932870
   55817.65997685   55817.99353009
   55817.99400462   55818.32739583
   55818.32803240   55818.66142361
   55818.66207175   55818.99562500
   55818.99609953   55819.32947916
   55819.33011574   55819.66351851
   55819.66415509   55819.99773148
   55819.99820601   55820.03840277
   55820.03905092   55820.37261574
   55820.37309027   55820.70646990
   55820.70710648   55821.04065972
   55821.04113425   55821.08023148
   55821.08096064   55821.41451388
   55821.41498842   55821.74836805
   55821.74901620   55822.08256944
   55822.08310185   55822.41648148
   55822.41718750   55822.75057870
   55822.75122685   55823.08461805
   55823.08526620   55823.41881944
   55823.41929398   55823.75268518
   55823.75333333   55824.08689814
   55824.08737268   55824.42093749
   55824.42141203   55824.75480324
   55824.75545138   55825.08884259
   55825.08949074   55825.42285879
   55825.42349537   55825.75689814
   55825.75754629   55826.09093749
   55826.09158564   55826.42512731
   55826.42560185   55826.75899305
   55826.75964120   55827.09321759
   55827.09369212   55827.42724537
   55827.42771990   55827.76109953
   55827.76174768   55828.09528935
   55828.09576388   55828.42932870
   55828.42981481   55828.76320601
   55828.76385416   55829.09740740
   55829.09789351   55829.43143518
   55829.43190972   55829.76532407
   55829.76597222   55830.09951388
   55830.09998842   55830.43355324
   55830.43402777   55830.76740740
   55830.76805555   55831.10144675
   55831.10209490   55831.43547453
   55831.43613425   55831.76952546
   55831.77018518   55832.10373842
   55832.10421296   55832.43775462
   55832.43824074   55832.70646990
   55832.83459490   55832.89667824
   55832.92212962   55833.25550925
   55833.25615740   55833.58954861
   55833.59030092   55833.92384259
   55833.92432870   55834.25790509
   55834.25837962   55834.59175925
   55834.59239583   55834.92596064
   55834.92643518   55835.25982638
   55835.26048611   55835.59388888
   55835.59454861   55835.92493055
   55835.93809027   55836.27163194
   55836.27249999   55836.60589120
   55836.60658564   55836.93997685
   55836.94061342   55837.27400462
   55837.27472222   55837.60811342
   55837.60874999   55837.94231481
   55837.94277777   55838.27616898
   55838.27681712   55838.61019675
   55838.61084490   55838.94439814
   55838.94487268   55839.27825231
   55839.27891203   55839.61228009
   55839.61295138   55839.94633101
   55839.94697916   55840.28037037
   55840.28103009   55840.61442129
   55840.61511574   55840.94849537
   55840.94914351   55841.28252314
   55841.28317129   55841.61656249
   55841.61719907   55841.95078703
   55841.95126157   55842.28481481
   55842.28528935   55842.61885416
   55842.61931712   55842.93427083
   55842.93475694   55843.26831018
   55843.26879629   55843.60218749
   55843.60283564   55843.93621527
   55843.93686342   55844.27024305
   55844.27089120   55844.60428240
   55844.60491898   55844.93829861
   55844.93894675   55845.27232638
   55845.27297453   55845.60636574
   55845.60707175   55845.94062500
   55845.94111111   55846.27450231
   55846.27513888   55846.60851851
   55846.60916666   55846.94255787
   55846.94497685   55847.27837962
   55847.27901620   55847.61241898
   55847.61306712   55847.94662037
   55847.94709490   55848.28065972
   55848.28113425   55848.61452546
   55848.61516203   55848.94856481
   55848.94922453   55849.28260416
   55849.28325231   55849.61664351
   55849.61729166   55849.95086805
   55849.95134259   55850.28487268
   55850.28535879   55850.61875000
   55850.61939814   55850.95280092
   55850.95343749   55851.28682870
   55851.28747685   55851.62104166
   55851.62151620   55851.95490740
   55851.95555555   55852.28912037
   55852.28959490   55852.62297453
   55852.62362268   55852.95717592
   55852.95765046   55853.29119212
   55853.29165509   55853.62504629
   55853.62568287   55853.95924768
   55853.95972222   55854.29311342
   55854.29376157   55854.62715277
   55854.62778935   55854.96135416
   55854.96182870   55855.29521990
   55855.29586805   55855.62925925
   55855.62989583   55855.96346064
   55855.96393518   55856.29731481
   55856.29796296   55856.63135416
   55856.63200231   55856.96540509
   55856.96604166   55857.29944444
   55857.30010416   55857.63349537
   55857.63413194   55857.96768518
   55857.96815972   55858.30156249
   55858.30222222   55858.63560185
   55858.63626157   55858.90634259
   55858.92820601   55859.26159722
   55859.26223379   55859.59562500
   55859.59626157   55859.92981481
   55859.93034722   55860.26373842
   55860.26444444   55860.59783564
   55860.59847222   55860.93203703
   55860.93255787   55861.26594907
   55861.26658564   55861.59996527
   55861.60060185   55861.93415509
   55861.93462962   55862.26800925
   55862.26866898   55862.60228009
   55862.60275462   55862.93629629
   55862.93677083   55863.27017361
   55863.27082175   55863.60420138
   55863.60490740   55863.93828703
   55863.93892361   55864.27231481
   55864.27295138   55864.60634259
   55864.60699074   55864.94038194
   55864.94101851   55865.27440972
   55865.46578703   55865.71040509
   55865.72498842   55866.05837962
   55866.05965277   55866.39321759
   55866.39369212   55866.72707175
   55866.72771990   55867.06111111
   55867.06175925   55867.39515046
   55867.39579861   55867.72918981
   55867.72983796   55868.06321759
   55868.06386574   55868.39725694
   55868.39790509   55868.73130787
   55868.73195601   55869.06534722
   55869.06599537   55869.39938657
   55869.40004629   55869.73342592
   55869.73408564   55869.92781249
   55870.06481481   55870.39835648
   55870.39883101   55870.73222222
   55870.73287037   55870.76711805
   55870.84667824   55871.18024305
   55871.18071759   55871.51429398
   55871.51475694   55871.84831018
   55871.84878472   55872.18234953
   55872.18282407   55872.51662037
   55872.51708333   55872.84862268
   55873.01853009   55873.35193287
   55873.35258101   55873.68596064
   55873.68660879   55874.01999999
   55874.02064814   55874.12765046
   55874.14793981   55874.41629629
   55874.42210648   55874.75549768
   55874.75614583   55875.08952546
   55875.09018518   55875.42358796
   55875.42422453   55875.75762731
   55875.75827546   55876.00473379
   55876.04913194   55876.38270833
   55876.38319444   55876.71658564
   55876.71723379   55877.05062500
   55877.05126157   55877.38482638
   55877.38530092   55877.71886574
   55877.72109953   55877.84046296
   55877.90635416   55878.23975694
   55878.24040509   55878.57379629
   55878.57443287   55878.90782407
   55878.90846064   55879.24185185
   55879.24249999   55879.57589120
   55879.57653935   55879.90993055
   55879.91057870   55880.05085648
   55880.08850694   55880.42189814
   55880.42254629   55880.75594907
   55880.75662037   55881.08699074
   55882.08993055   55882.42331018
   55882.42395833   55882.75734953
   55882.75802083   55883.09141203
   55883.09207175   55883.42546296
   55883.42611111   55883.75967592
   55883.76016203   55883.82878472
   55883.86545138   55883.89723379
   55883.94163194   55884.27517361
   55884.27571759   55884.60912037
   55884.60982638   55884.83372685
   55884.86928240   55885.20283564
   55885.20332175   55885.53668981
   55885.53734953   55885.87072916
   55885.87140046   55886.20494212
   55886.20549768   55886.53887731
   55886.53952546   55886.87290509
   55886.87355324   55887.06351851
   55887.14672453   55887.48011574
   55887.48077546   55887.81415509
   55887.81481481   55888.06059027
   55888.18371527   55888.51709490
   55888.51797453   55888.85152777
   55888.85201388   55889.00268518
   55889.06354166   55889.39709490
   55889.39763888   55889.73101851
   55889.73172453   55890.02388888
   55890.10062499   55890.43400462
   55890.43472222   55890.76826388
   55890.76877314   55890.94155092
   55890.94246527   55891.27600694
   55891.27649305   55891.60988425
   55891.61053240   55891.94407407
   55891.94457175   55892.27811342
   55892.27861111   55892.61197916
   55892.61263888   55892.94600694
   55893.15466435   55893.48804398
   55893.76746527   55894.10084490
   55894.10151620   55894.43489583
   55894.43555555   55894.76893518
   55894.76960648   55894.87569444
   55895.17232638   55895.50570601
   55895.50636574   55895.82675925
   55897.09299768   55897.42637731
   55897.42704861   55897.76042824
   55897.76111111   55898.09449074
   55898.09517361   55898.42871527
   55898.42921296   55898.76275462
   55898.76325231   55899.04310185
   55899.53359953   55899.86714120
   55900.15857638   55900.49195601
   55900.82238425   55901.15594907
   55901.15643518   55901.48999999
   55901.49049768   55901.82388888
   55901.82456018   55902.05567129
   55902.60391203   55902.90038194
   55903.03636574   55903.11711805
   55903.14550925   55903.17848379
   55903.19152777   55903.52489583
   55903.52556712   55903.85894675
   55903.85961805   55904.19299768
   55904.19366898   55904.29312499
   55904.33006944   55904.66344907
   55904.66412037   55904.99749999
   55905.14334490   55905.47672453
   55905.47780092   55905.81134259
   55905.95686342   55906.29040509
   55906.29096064   55906.62434027
   55906.62499999   55906.95837962
   55906.95905092   55907.29259259
   55907.33957175   55907.67298611
   55907.67366898   55908.00722222
   55908.00774305   55908.34129629
   55908.34180555   55908.67519675
   55908.67586805   55909.00924768
   55909.01185185   55909.34523148
   55909.34658564   55909.67996527
   55909.68064814   55910.01412037
   55910.01480324   55910.34834490
   55910.34886574   55910.68228009
   55910.68297453   55911.01634259
   55911.01700231   55911.35056712
   55911.35116898   55911.68454861
   55911.68524305   55911.79986111
   55911.81851851   55912.15189814
   55912.15269675   55912.48622685
   55912.55655092   55912.89023148
   55912.89076388   55913.22428240
   55913.22499999   55913.55848379
   55913.55918981   55913.88956018
   55913.89228009   55914.22589120
   55914.22641203   55914.55989583
   55914.56060185   55914.71810185
   55914.72101851   55914.84567129
   55914.89891203   55915.23246527
   55915.23305555   55915.56642361
   55915.56709490   55915.90047453
   55915.90112268   55916.03334490
   55916.24621527   55916.57974537
   55916.58042824   55916.91405092
   55916.91493055   55917.24863425
   55917.24915509   55917.58285879
   55917.58337962   55917.91707175
   55917.91759259   55918.25123842
   55918.25181712   55918.33045138
   55918.33145833   55918.66512731
   55918.66568287   55918.99936342
   55918.99988425   55919.33353009
   55919.33406249   55919.66773148
   55919.66825231   55920.00194444
   55920.00247685   55920.33618055
   55920.33671296   55920.67039351
   55920.67097222   55921.00447916
   55921.18749999   55921.52116898
   55921.52170138   55921.85534722
   55922.23427083   55922.56797453
   55922.56851851   55922.90223379
   55922.90277777   55923.01096064
   55923.05302083   55923.38640046
   55923.38704861   55923.72042824
   55924.05581018   55924.38920138
   55924.38986111   55924.72324074
   55925.09468749   55925.42805555
   55925.42872685   55925.76211805
   55925.76278935   55926.09635416
   55926.09857638   55926.43228009
   55926.43277777   55926.76616898
   55926.76880787   55926.99956018
   55927.33550925   55927.66907407
   55927.66956018   55927.83364583
   55928.29119212   55928.62457175
   55928.62523148   55928.85781249
   55928.92427083   55929.25765046
   55929.25832175   55929.59171296
   55929.59237268   55929.92593749
   55929.92643518   55930.25983796
   55930.26055555   55930.59393518
   55930.59459490   55930.92797453
   55930.92872685   55931.15581018
   55931.16567129   55931.49906249
   55931.49971064   55931.83326388
   55931.83381944   55932.16719907
   55932.16784722   55932.50123842
   55932.50362268   55932.83702546
   55932.88208333   55933.04664351
   55933.36277777   55933.69616898
   55933.69688657   55934.03043981
   55934.03093749   55934.10121527
   55934.43601851   55934.76938657
   55934.77003472   55935.10341435
   55935.10405092   55935.12902777
   55935.24045138   55935.57383101
   55935.57446759   55935.68637731
   55935.68689814   55936.02028935
   55936.02098379   55936.17850694
   55936.32531249   55936.65885416
   55936.91775462   55937.12640046
   55937.27346064   55937.60684027
   55937.60749999   55937.94087962
   55937.94153935   55938.07533564
   55938.07695601   55938.13471064
   55938.19458333   55938.52797453
   55938.52865740   55938.86203703
   55938.86268518   55939.12807870
   55939.21864583   55939.37503472
   55939.39358796   55939.72715277
   55939.72763888   55940.06118055
   55940.06167824   55940.11651620
   55940.27869212   55940.61207175
   55940.61271990   55940.86155092
   55941.02578703   55941.06414351
   55941.08624999   55941.14619212
   55941.33182870   55941.66519675
   55941.66586805   55941.99942129
   55941.99990740   55942.04584490
   55942.14513888   55942.28175925
   55943.28491898   55943.39806712
   55943.40770833   55943.74129629
   55943.74180555   55944.07519675
   55944.07585648   55944.10831018
   55944.75356481   55944.90541666
   55944.90603009   55944.98958333
   55944.99009259   55945.07364583
   55945.07414351   55945.15769675
   55945.30212962   55945.63552083
   55945.63620370   55945.87943287
   55945.89344907   55946.22684027
   55946.22751157   55946.56090277
   55946.56157407   55946.89512731
   55946.89567129   55947.22906250
   55947.22972222   55947.56310185
   55947.56376157   55947.89717592
   55948.38192129   55948.71530092
   55948.71596064   55949.04956018
   55949.05004629   55949.38342592
   55949.38408564   55949.71747685
   55949.71812499   55950.05151620
   55950.05217592   55950.38557870
   55950.38623842   55950.71961805
   55950.72027777   55951.05384259
   55951.05434027   55951.38773148
   55951.38839120   55951.72178240
   55951.72250000   55952.05587962
   55952.25203703   55952.30120370
   55952.33248842   55952.66586805
   55952.66660879   55952.99998842
   55953.01028935   55953.34366898
   55953.34437499   55953.67792824
   55953.67842592   55954.01197916
   55954.01247685   55954.34586805
   55954.34653935   55954.68009259
   55954.68057870   55955.01398148
   55955.21856481   55955.28396990
   55955.28465277   55955.61821759
   55955.61871527   55955.95209490
   55955.95275462   55956.28614583
   55956.28680555   55956.62034722
   55956.62085648   55956.95440972
   55956.95490740   55957.28829861
   55957.28895833   55957.62233796
   55957.62299768   55957.95656250
   55957.95704861   55958.29043981
   55958.47394675   55958.80751157
   55958.80800925   55958.92530092
   55958.99090277   55959.32428240
   55959.32494212   55959.65849537
   55959.65899305   55959.99254629
   55960.29468749   55960.62826388
   55961.19211805   55961.52578703
   55961.52628472   55961.85981481
   55961.86030092   55962.19381944
   55962.19429398   55962.52781249
   55962.52831018   55962.86181712
   55962.86288194   55963.19640046
   55964.95277777   55965.28614583
   55965.28679398   55965.62019675
   55965.62085648   55965.95423611
   55965.95486111   55966.28824074
   55966.28886574   55966.62224537
   55966.62292824   55966.95644675
   55966.95693287   55967.29032407
   55967.29141203   55967.62479166
   55967.62552083   55967.95890046
   55967.95953703   55968.29291666
   55968.29355324   55968.62693287
   55968.62758101   55968.96096064
   55968.96158564   55969.29497685
   55969.29565972   55969.62905092
   55969.62969907   55969.96324074
   55969.96372685   55970.29711805
   55970.29774305   55970.63127314
   55970.63177083   55970.96530092
   55970.96578703   55971.25695601
   55971.48320601   55971.81657407
   55973.44940972   55973.78277777
   55974.09148148   55974.42486111
   55974.42549768   55974.75887731
   55974.75951388   55974.95054398
   55975.34993055   55975.68346064
   55975.68394675   55976.01746527
   55976.26432870   55976.59770833
   55976.59835648   55976.93188657
   55976.93238425   55977.26577546
   55977.26642361   55977.59996527
   55977.82759259   55977.85240740
   55977.85833333   55977.88246527
   55977.88407407   55978.21746527
   55978.21810185   55978.55164351
   55978.55214120   55978.88553240
   55978.88819444   55979.22158564
   55979.22223379   55979.55577546
   55979.55627314   55979.88965277
   55979.89031249   55980.22370370
   55980.22435185   55980.55773148
   55980.55837962   55980.89193287
   55980.89243055   55981.22598379
   55981.22648148   55981.46443287
   55981.52295138   55981.63686342
   55981.64359953   55981.97714120
   55981.97763888   55982.31118055
   55982.31168981   55982.64523148
   55982.64571759   55982.97925925
   55982.97976851   55983.31314814
   55983.36063657   55983.69402777
   55983.69467592   55983.97148148
   55983.98368055   55984.31708333
   55984.31774305   55984.65128472
   55984.65178240   55984.98531249
   55984.98581018   55985.31920138
   55985.31987268   55985.50711805
   55985.51922453   55985.65048611
   55985.65532407   55985.98886574
   55985.98936342   55986.32273148
   55986.32344907   55986.51061342
   55986.54059027   55986.60473379
   55986.64092592   55986.97447916
   55986.97535879   55987.30874999
   55987.30940972   55987.64280092
   55987.64386574   55987.97740740
   55987.97790509   55988.31129629
   55988.31195601   55988.64549768
   55988.64599537   55988.97956018
   55988.98004629   55989.31344907
   55989.31410879   55989.64749999
   55989.64815972   55989.98171296
   55989.98219907   55990.31557870
   55990.31630787   55990.64986111
   55990.65034722   55990.98390046
   55990.98438657   55991.31775462
   55991.31842592   55991.65197916
   55991.65247685   55991.98603009
   55991.98651620   55992.32005787
   55992.32054398   55992.65409722
   55992.65459490   55992.98813657
   55992.98863425   55993.32201388
   55993.32268518   55993.65624999
   55993.65680555   55993.99035879
   55993.99086805   55994.32424768
   55994.32490740   55994.65828703
   55994.65894675   55994.99249999
   55994.99298611   55995.32636574
   55995.32702546   55995.66056712
   55995.66113425   55995.97271990
   55996.05168981   55996.38506944
   55996.38578703   55996.71916666
   55996.71982638   55997.05320601
   55997.05386574   55997.38506944
   55998.10789351   55998.44127314
   55998.46650462   55998.79987268
   55998.80054398   55999.13409722
   55999.17795138   55999.51133101
   55999.51201388   55999.84539351
   55999.84607638   56000.17945601
   56000.28483796   56000.61824074
   56000.61891203   56000.95247685
   56000.95297453   56001.28635416
   56001.28701388   56001.62039351
   56001.62106481   56001.95461805
   56001.95511574   56002.28850694
   56002.28918981   56002.62256944
   56002.62321759   56002.95677083
   56002.95726851   56003.29064814
   56003.29131944   56003.62469907
   56003.62541666   56003.95898148
   56003.95947916   56004.29285879
   56004.29353009   56004.62690972
   56004.62756944   56004.96111111
   56004.96160879   56005.29501157
   56005.29572916   56005.62912037
   56005.62984953   56005.87696759
   56006.01430555   56006.34768518
   56006.34834490   56006.68173611
   56006.68245370   56007.01583333
   56007.01649305   56007.34987268
   56007.35053240   56007.68390046
   56007.68456018   56008.01811342
   56008.01861111   56008.35199074
   56008.35265046   56008.68603009
   56008.68668981   56009.02023148
   56009.38398148   56009.71736111
