#  MJD_start[days]  MJD_stop[days]
   55694.99047453   55695.32498842
   55695.32548611   55695.66137731
   55695.66188657   55695.99623842
   55695.99690972   55696.33261574
   55696.33329861   55696.43293981
   55696.70307870   55697.03746527
   55697.03821759   55697.37260416
   55697.37336805   55697.70909722
   55697.70983796   55697.74530092
   55697.74682870   55698.08123842
   55698.08190972   55698.41634259
   55698.41707175   55698.44913194
   55698.45175925   55698.78652777
   55698.78702546   55699.12146990
   55699.24170138   55699.57607638
   55699.57684027   55699.91162037
   55699.92056712   55700.09841435
   55700.09902777   55700.43339120
   55700.72127314   55701.05564814
   55701.05634259   55701.39229166
   55701.39280092   55701.64717592
   55701.64770833   55701.98219907
   55701.98269675   55702.22894675
   55702.22964120   55702.56322916
   55702.56373842   55702.89731481
   55702.89782407   55703.23141203
   55703.23190972   55703.43307870
   55703.44579861   55703.78025462
   55703.78075231   55704.11524305
   55704.11575231   55704.28995370
   55704.29060185   55704.36046296
   55704.36112268   55704.69591435
   55704.69642361   55705.03208333
   55705.03276620   55705.36712962
   55705.36782407   55705.70357638
   55705.70428240   55706.03865740
   55706.03934027   55706.30932870
   55706.66168981   55706.99607638
   55706.99675925   55707.33122685
   55707.33192129   55707.66628472
   55707.66702546   55708.00280092
   55708.00348379   55708.33789351
   55708.33859953   55708.67304398
   55708.67376157   55709.00855324
   55709.00924768   55709.34499999
   55709.34568287   55709.67883101
   55709.67947916   55710.01306712
   55710.01363425   55710.34703703
   55710.34778935   55710.68119212
   55710.68187500   55710.80245370
   55710.92457175   55711.25902777
   55711.26324074   55711.59760416
   55711.59828703   55711.93284722
   55711.93334490   55712.20848379
   55712.20914351   55712.54517361
   55712.87973379   55713.21428240
   55713.21478009   55713.36365740
   55713.36501157   55713.56822916
   55713.56959490   55713.80405092
   55713.80468749   55713.91718750
   55713.93730324   55714.24832175
   55714.27861111   55714.30371527
   55714.30436342   55714.50414351
   55714.50478009   55714.54935185
   55714.55002314   55714.88361111
   55714.88410879   55715.21769675
   55715.21819444   55715.55178240
   55715.55228009   55715.88584490
   55715.88748842   55716.22106481
   55716.22159722   55716.55517361
   55716.55568287   55716.88925925
   55716.88976851   55717.22317129
   55717.22385416   55717.55745370
   55717.55795138   55717.89155092
   55717.89204861   55718.22564814
   55718.22614583   55718.55974537
   55718.56025462   55718.89381944
   55718.89432870   55719.22790509
   55719.22841435   55719.41909722
   55719.41967592   55719.75326388
   55719.75383101   55720.08722222
   55720.08827546   55720.42166666
   55720.42236111   55720.75594907
   55720.75644675   55721.08984953
   55721.34019675   55721.46726851
   55721.46790509   55721.54932870
   55721.55001157   55721.88594907
   55721.88741898   55722.22179398
   55722.22247685   55722.55858796
   55722.56371527   55722.89824074
   55722.89874999   55723.14722222
   55723.14788194   55723.48146990
   55723.48197916   55723.81555555
   55723.81606481   55724.14965277
   55724.15016203   55724.48376157
   55724.48425925   55724.81784722
   55724.81835648   55724.86429398
   55724.91947916   55725.25393518
   55725.25459490   55725.58900462
   55725.58966435   55725.92423611
   55725.92473379   55726.25915509
   55726.25981481   55726.59557870
   55726.59623842   55726.62549768
   55726.62613425   55726.96056712
   55726.96123842   55727.29583333
   55727.29633101   55727.63064814
   55727.90612268   55727.94953703
   55727.95018518   55728.28611111
   55728.28662037   55728.62097222
   55728.62165509   55728.95618055
   55728.95685185   55729.29121527
   55729.29188657   55729.62664351
   55729.62714120   55729.96150462
   55729.96223379   55730.29666666
   55730.29734953   55730.63168981
   55730.63243055   55730.87089120
   55730.87151620   55731.20608796
   55731.20656250   55731.54240740
   55731.54288194   55731.87736111
   55731.87783564   55732.21226851
   55732.21274305   55732.54709490
   55732.54775462   55732.88206018
   55732.88273148   55733.21704861
   55733.31560185   55733.64917824
   55733.64971064   55733.98327546
   55733.98374999   55734.31138888
   55734.36259259   55734.69703703
   55734.69751157   55735.03179398
   55735.03244212   55735.36810185
   55735.36873842   55735.70325231
   55735.70372685   55736.03805555
   55736.03870370   55736.37298611
   55736.37362268   55736.43057870
   55736.43168981   55736.76618055
   55736.76664351   55736.91185185
   55736.91244212   55737.24681712
   55737.24748842   55737.58196759
   55737.58283564   55737.91719907
   55737.91785879   55738.25237268
   55738.25284722   55738.58714120
   55738.58778935   55738.92206018
   55739.02218749   55739.35652777
