#  MJD_start[days]  MJD_stop[days]
   57891.16990740   57891.50291666
   57891.50484953   57891.83756944
   57891.83756944   57892.17101851
   57892.17101851   57892.50452546
   57892.50452546   57892.83795138
   57892.83859953   57893.17158564
   57893.17158564   57893.50499999
   57893.50499999   57893.83841435
   57893.83841435   57894.17184027
   57894.17249999   57894.50549768
   57894.50549768   57894.83896990
   57894.83896990   57895.17237268
   57895.17237268   57895.50578703
   57895.50650462   57895.83945601
   57895.83945601   57896.17297453
   57896.17297453   57896.50641203
   57896.50641203   57896.83988425
   57896.84054398   57897.17356481
   57897.17356481   57897.50702546
   57897.50702546   57897.84055555
   57897.84055555   57898.17398148
   57898.17483796   57898.50763888
   57898.50763888   57898.84105324
   57898.84105324   57899.17450231
   57899.17450231   57899.50762731
   57899.50894675   57899.84190972
   57899.84190972   57900.17532407
   57900.17532407   57900.50871527
   57900.50871527   57900.84211805
   57900.84280092   57901.00528935
   57901.00825231   57901.01523148
   57901.01592592   57901.05908564
   57901.06024305   57901.39312499
   57901.39377314   57901.72679398
   57901.72679398   57902.06025462
   57902.06025462   57902.39368055
   57902.39368055   57902.72711805
   57902.72784722   57902.99672453
   57903.00148148   57903.01142361
   57903.01390046   57903.34680555
   57903.34680555   57903.68026620
   57903.68026620   57904.01369212
   57904.01369212   57904.34680555
   57904.34864583   57904.68159722
   57904.68350694   57905.01630787
   57905.01630787   57905.34981481
   57905.34981481   57905.68324074
   57905.68324074   57906.01666666
   57906.01731481   57906.35031250
   57906.35031250   57906.68373842
   57906.68373842   57907.01715277
   57907.01715277   57907.35055555
   57907.35164351   57907.68421296
   57907.68421296   57908.01766203
   57908.01766203   57908.35107638
   57908.35107638   57908.68450231
   57908.68518518   57909.01819444
   57909.01819444   57909.35163194
   57909.35163194   57909.68505787
   57909.68505787   57910.01848379
   57910.01917824   57910.09430555
   57910.09666666   57910.42966435
   57910.42966435   57910.76309027
   57910.76309027   57911.09649305
   57911.09649305   57911.42995370
   57911.43070601   57911.76365740
   57911.76365740   57912.09711805
   57912.09711805   57912.43053240
   57912.43053240   57912.76361111
   57912.76510416   57912.82253472
   57912.82390046   57912.88049768
