#  MJD_start[days]  MJD_stop[days]
   57912.89011574   57912.91571759
   57912.91650462   57912.97100694
   57912.97247685   57913.30537037
   57913.30612268   57913.63906250
   57913.63906250   57913.97253472
   57913.97253472   57914.30593749
   57914.30593749   57914.63932870
   57914.63998842   57914.97298611
   57914.97298611   57915.30640046
   57915.30640046   57915.63983796
   57915.63983796   57915.97333333
   57915.97408564   57916.30700231
   57916.30700231   57916.64049768
   57916.64049768   57916.69166666
   57916.69508101   57916.74135416
   57916.74265046   57916.75201388
   57916.75340277   57917.08621527
   57917.08692129   57917.41987268
   57917.41987268   57917.75331018
   57917.75331018   57918.08677083
   57918.08677083   57918.42028935
   57918.42092592   57918.75393518
   57918.75393518   57919.08740740
   57919.08740740   57919.42081018
   57919.42081018   57919.75424768
   57919.75488425   57920.08788194
   57920.08788194   57920.15025462
   57920.15159722   57920.48394675
   57920.48533564   57920.81831018
   57920.81831018   57921.15175925
   57921.15175925   57921.48517361
   57921.48517361   57921.81859953
   57921.81925925   57922.15222222
   57922.15222222   57922.48570601
   57922.48570601   57922.81913194
   57922.81913194   57923.15254629
   57923.15315972   57923.48615740
   57923.48615740   57923.81960648
   57923.81960648   57924.15303240
   57924.15303240   57924.48644675
   57924.48747685   57924.82010416
   57924.82010416   57925.15355324
   57925.15355324   57925.48700231
   57925.48700231   57925.82048611
   57925.82159722   57926.15416666
   57926.15416666   57926.48761574
   57926.48761574   57926.82105324
   57926.82105324   57927.15445601
   57927.15517361   57927.48814814
   57927.48814814   57927.82157407
   57927.82157407   57928.15498842
   57928.15498842   57928.48841435
   57928.48916666   57928.82212962
   57928.82212962   57929.15563657
   57929.15563657   57929.48910879
   57929.48910879   57929.60555555
   57929.60660879   57929.87222222
   57929.87516203   57929.88217592
   57929.88333333   57929.93342592
   57929.93475694   57930.26761574
   57930.26829861   57930.60123842
   57930.60123842   57930.93466435
   57930.93466435   57931.26806712
   57931.26806712   57931.60148148
   57931.60212962   57931.93512731
   57931.93512731   57932.26855324
   57932.26855324   57932.60199074
   57932.60199074   57932.93542824
   57932.93625000   57933.26916666
   57933.26916666   57933.60259259
   57933.60259259   57933.93604166
   57933.93604166   57934.26951388
   57934.27024305   57934.60326388
   57934.60326388   57934.93668981
   57934.93668981   57935.27011574
   57935.27011574   57935.60354166
   57935.60439814   57935.93739583
   57935.93739583   57936.27081018
   57936.27081018   57936.60423611
   57936.60423611   57936.73409722
   57936.73502314   57937.06803240
   57937.06870370   57937.40172453
   57937.40172453   57937.73520833
   57937.73520833   57938.06863425
   57938.06863425   57938.40203703
   57938.40271990   57938.73571759
   57938.73571759   57939.06920138
   57939.06920138   57939.40256944
   57939.40256944   57939.73598379
   57939.73665509   57940.06966435
   57940.06966435   57940.40309027
   57940.40309027   57940.73651620
   57940.73651620   57941.06996527
   57941.07072916   57941.40368055
   57941.40368055   57941.73712962
   57941.73712962   57941.74570601
   57941.74703703   57942.07962962
   57942.07962962   57942.41319444
   57942.41319444   57942.74662037
   57942.74662037   57943.07969907
   57943.08111111   57943.13664351
   57943.13790509   57943.20040509
   57943.20178240   57943.24652777
   57943.25068287   57943.30371527
   57943.30501157   57943.63782407
   57943.63843750   57943.72986111
   57943.73331018   57943.74034722
   57943.74150462   57943.78658564
   57943.78788194   57944.12074074
   57944.12151620   57944.45450231
   57944.45450231   57944.78790509
   57944.78898148   57945.12160879
   57945.12160879   57945.45506944
   57945.45506944   57945.78848379
   57945.78848379   57946.12192129
   57946.12267361   57946.15069444
   57946.16681712   57946.33652777
   57946.33813657   57946.67068287
   57946.67459490   57946.68188657
   57946.68280092   57947.01572916
   57947.01572916   57947.34916666
   57947.34916666   57947.68258101
   57947.68258101   57948.01599537
   57948.01665509   57948.34968749
   57948.34968749   57948.68313657
   57948.68313657   57949.01656250
   57949.01656250   57949.35000000
   57949.35078703   57949.68377314
   57949.68377314   57950.01717592
   57950.01717592   57950.35060185
   57950.35060185   57950.68401620
   57950.68510416   57950.93811342
   57950.95334490   57951.03173611
   57951.03486111   57951.04202546
   57951.04303240   57951.09030092
   57951.09181712   57951.17703703
   57951.17778935   57951.51087962
   57951.51087962   57951.84437499
   57951.84437499   57952.17792824
   57952.17792824   57952.51106481
   57952.51269675   57952.84561342
   57952.84765046   57953.18003472
   57953.19761574   57953.20465277
   57953.20609953   57953.53901620
   57953.53901620   57953.87247685
   57953.87247685   57954.20586805
   57954.20586805   57954.53928240
   57954.54003472   57954.87290509
   57954.87290509   57955.20633101
   57955.20633101   57955.53973379
   57955.53973379   57955.87314814
   57955.87420138   57956.20684027
   57956.20684027   57956.54040509
   57956.54040509   57956.87391203
   57956.87391203   57957.20733796
   57957.20805555   57957.54098379
   57957.54098379   57957.87443287
   57957.87443287   57958.20783564
   57958.20783564   57958.54122685
   57958.54193287   57958.87488425
   57958.87488425   57959.20831018
   57959.20831018   57959.54174768
   57959.54174768   57959.87524305
   57959.87600694   57960.20888888
   57960.20888888   57960.54230324
   57960.54230324   57960.87572916
   57960.87572916   57961.07326388
   57961.07672453   57961.08390046
   57961.08501157   57961.12901620
   57961.13076388   57961.21427083
   57961.21740740   57961.55013888
   57961.55013888   57961.88370370
   57961.88370370   57962.21710648
   57962.21710648   57962.55021990
   57962.55160879   57962.56159722
   57962.56354166   57962.57336805
   57962.57336805   57962.58387731
   57962.58456018   57962.59434027
   57962.59554398   57962.92847222
   57962.92847222   57963.26190972
   57963.26190972   57963.59539351
   57963.59615740   57963.64543981
   57963.64645833   57963.97949074
   57963.97949074   57964.31300925
   57964.31300925   57964.64645833
   57964.64645833   57964.97987268
   57964.98056712   57965.05673611
   57965.05804398   57965.39074074
   57965.39074074   57965.72424768
   57965.72424768   57966.05774305
   57966.05774305   57966.39084490
   57966.39282407   57966.40326388
   57966.40450231   57966.46768518
   57966.47949074   57966.51167824
   57966.51292824   57966.59636574
   57966.59718749   57966.93026620
   57966.93026620   57967.26366898
   57967.26366898   57967.59708333
   57967.59708333   57967.93049768
   57967.93128472   57968.26418981
   57968.26418981   57968.59765046
   57968.59765046   57968.93119212
   57968.93119212   57969.26436342
   57969.26575231   57969.59872685
   57969.59872685   57969.93223379
   57969.93300925   57970.26555555
   57970.26708333   57970.59998842
   57970.59998842   57970.93353009
   57970.93353009   57971.26697916
   57971.26697916   57971.60049768
   57971.60143518   57971.93437500
   57971.93437500   57972.26793981
   57972.26793981   57972.60144675
   57972.60144675   57972.93454861
   57972.93590277   57972.99712962
   57972.99865740   57973.05258101
   57973.07886574   57973.41196759
   57973.41278935   57973.74574074
   57973.74574074   57974.07924768
   57974.07924768   57974.41276620
   57974.41276620   57974.74626157
   57974.74701388   57975.08000000
   57975.08000000   57975.41342592
   57975.41342592   57975.74686342
   57975.74686342   57976.08033564
   57976.08129629   57976.41424768
   57976.41424768   57976.74774305
   57976.74774305   57977.08116898
   57977.08116898   57977.41459490
   57977.41537037   57977.74831018
   57977.74831018   57978.08185185
   57978.08185185   57978.41535879
   57978.41535879   57978.74888888
   57978.75192129   57979.08458333
   57979.08458333   57979.41805555
   57979.41805555   57979.75145833
   57979.75145833   57980.08488425
   57980.08569444   57980.41862268
   57980.41862268   57980.75211805
   57980.75211805   57981.08555555
   57981.08555555   57981.41864583
   57981.42320601   57981.43065972
   57981.43312499   57981.76591435
   57981.76591435   57982.09938657
   57982.09938657   57982.31490740
   57982.31579861   57982.64868055
   57982.64868055   57982.98211805
   57982.98211805   57983.12802083
   57983.13001157   57983.17607638
   57983.17743055   57983.26081018
   57983.27461805   57983.28172453
   57983.28309027   57983.61594907
   57983.61668981   57983.94964120
   57983.94964120   57984.28314814
   57984.28314814   57984.61656250
   57984.61656250   57984.73520833
   57984.73687499   57985.06979166
   57985.07175925   57985.40449074
   57985.40449074   57985.73796296
   57985.73796296   57986.07145833
   57986.07145833   57986.40490740
   57986.40559027   57986.73853009
   57986.73853009   57987.07197916
   57987.07197916   57987.40541666
   57987.40541666   57987.73887731
   57987.73954861   57988.07253472
   57988.07253472   57988.40601851
   57988.40601851   57988.73944444
   57988.73944444   57989.07287037
   57989.07354166   57989.40652777
   57989.40652777   57989.73996527
   57989.73996527   57990.07339120
   57990.07339120   57990.40684027
   57990.40761574   57990.74052083
   57990.74052083   57991.07400462
   57991.07400462   57991.40744212
   57991.40744212   57991.74087962
   57991.74166666   57992.07453703
   57992.07453703   57992.40798611
   57992.40798611   57992.74141203
   57992.74141203   57993.07494212
   57993.07574074   57993.40868055
   57993.40868055   57993.74209490
   57993.74209490   57994.07552083
   57994.07552083   57994.40896990
   57994.40969907   57994.74266203
   57994.74266203   57995.07607638
   57995.07607638   57995.40951388
   57995.40951388   57995.74290509
   57995.74364583   57996.07660879
   57996.07660879   57996.41003472
   57996.41003472   57996.74349537
   57996.74349537   57997.07693287
   57997.07768518   57997.41059027
   57997.41059027   57997.74408564
   57997.74408564   57998.07753472
   57998.07753472   57998.41103009
   57998.41192129   57998.74483796
   57998.74483796   57999.07832175
   57999.07832175   57999.41186342
   57999.41186342   57999.74542824
   57999.74621527   58000.07910879
   58000.07910879   58000.41260416
   58000.41260416   58000.74611111
   58000.74611111   58001.07961805
   58001.08035879   58001.41333333
   58001.41333333   58001.74684027
   58001.74684027   58002.08024305
   58002.08024305   58002.41332175
   58002.41554398   58002.74842592
   58002.75040509   58003.08314814
   58003.08314814   58003.41667824
   58003.41667824   58003.75017361
   58003.75017361   58003.96884259
   58003.96966435   58004.30236111
   58004.30363425   58004.36300925
   58004.36421296   58004.42079861
   58004.42201388   58004.75491898
   58004.75491898   58005.08840277
   58005.08840277   58005.42182870
   58005.42182870   58005.75527777
   58005.75596064   58006.08886574
   58006.08886574   58006.42232638
   58006.42232638   58006.75575231
   58006.75575231   58007.08893518
   58007.09031250   58007.18537037
   58007.18841435   58007.19569444
   58007.19637731   58007.22673611
   58007.22831018   58007.31429398
   58007.31506944   58007.64807870
   58007.64807870   58007.98155092
   58007.98155092   58008.31496527
   58008.31496527   58008.64840277
   58008.64921296   58008.98209490
   58008.98209490   58009.31561342
   58009.31561342   58009.64906249
   58009.64906249   58009.98255787
   58009.98335648   58010.31622685
   58010.31622685   58010.61399305
   58010.61506944   58010.94769675
   58010.94769675   58011.28119212
   58011.28119212   58011.61461805
   58011.61461805   58011.94804398
   58011.94883101   58012.28177083
   58012.28177083   58012.61519675
   58012.61519675   58012.94859953
   58012.94859953   58013.28207175
   58013.28287037   58013.61578703
   58013.61578703   58013.94923611
   58013.94923611   58014.28265046
   58014.28265046   58014.61609953
   58014.61681712   58014.94944444
   58014.95087962   58015.28384259
   58015.28384259   58015.61733796
   58015.61800925   58015.95065972
   58015.98449074   58016.31746527
   58016.31952546   58016.65222222
   58016.65222222   58016.98570601
   58016.98570601   58017.31914351
   58017.31914351   58017.65259259
   58017.65335648   58017.98630787
   58017.98630787   58018.31978009
   58018.31978009   58018.65314814
   58018.65314814   58018.98659722
   58018.98747685   58019.32027777
   58019.32027777   58019.65371527
   58019.65371527   58019.98711805
   58019.98711805   58019.99442129
   58019.99597222   58020.32850694
   58020.42773148   58020.43505787
   58020.43586805   58020.76887731
   58020.76974537   58021.10231481
   58021.10377314   58021.18744212
   58021.18880787   58021.52172453
   58021.52172453   58021.85521990
   58021.85521990   58022.12936342
   58022.13295138   58022.16671296
   58022.16797453   58022.25962962
   58022.26039351   58022.59344907
   58022.59344907   58022.92689814
   58022.92689814   58023.26027777
   58023.26027777   58023.59372685
   58023.59446759   58023.92741898
   58023.92741898   58024.26091435
   58024.26091435   58024.59436342
   58024.59436342   58024.92776620
   58024.92854166   58025.26146990
   58025.26146990   58025.59495370
   58025.59495370   58025.92837962
   58025.92837962   58026.26182870
   58026.26259259   58026.59554398
   58026.59554398   58026.92903935
   58026.92903935   58027.26245370
   58027.26245370   58027.59591435
   58027.59660879   58027.92958333
   58027.92958333   58028.26311342
   58028.26311342   58028.59656250
   58028.59656250   58028.93004629
   58028.93082175   58029.26377314
   58029.26377314   58029.59719907
   58029.59719907   58029.93060185
   58029.93060185   58030.26407407
   58030.26482638   58030.45832175
   58030.49805555   58030.50581018
   58030.50662037   58030.83964120
   58030.83964120   58031.17317129
   58031.17317129   58031.50665509
   58031.50665509   58031.84010416
   58031.84084490   58032.17373842
   58032.17373842   58032.50721064
   58032.50721064   58032.84069444
   58032.84069444   58033.17417824
   58033.17491898   58033.50783564
   58033.50783564   58033.84135416
   58033.84135416   58033.97453703
   58033.97523148   58034.30759259
   58034.31400462   58034.34498842
   58034.34642361   58034.40611111
   58034.40754629   58034.46314814
   58034.47298611   58034.48120370
   58034.48249999   58034.48983796
   58034.49120370   58034.82416666
   58034.82502314   58035.15778935
   58035.15778935   58035.49126157
   58035.49126157   58035.82468750
   58035.82468750   58036.15812500
   58036.15886574   58036.49177083
   58036.49177083   58036.82523148
   58036.82523148   58037.15865740
   58037.15865740   58037.49209490
   58037.49278935   58037.82575231
   58037.82575231   58038.15922453
   58038.15922453   58038.49266203
   58038.49266203   58038.82616898
   58038.82709490   58039.16004629
   58039.16004629   58039.49361111
   58039.49361111   58039.82711805
   58039.82711805   58040.16057870
   58040.16126157   58040.49424768
   58040.49424768   58040.82774305
   58040.82774305   58041.16128472
   58041.16128472   58041.49450231
   58041.49618055   58041.82903935
   58041.82903935   58042.16248842
   58042.16248842   58042.49594907
   58042.49594907   58042.82945601
   58042.83013888   58043.16309027
   58043.16309027   58043.49652777
   58043.49652777   58043.82993055
   58043.82993055   58044.16340277
   58044.16408564   58044.49702546
   58044.49702546   58044.83045138
   58044.83045138   58045.16385416
   58045.16385416   58045.49733796
   58045.49806712   58045.83103009
   58045.83103009   58046.16449074
   58046.16449074   58046.49791666
   58046.49791666   58046.83141203
   58046.83228009   58047.16515046
   58047.16515046   58047.49858796
   58047.49858796   58047.83203275
   58047.83202546   58048.16546296
   58048.16618055   58048.49908564
   58048.49908564   58048.83253472
   58048.83253472   58049.16597222
   58049.16597222   58049.49940972
   58049.50012731   58049.83305555
   58049.83305555   58050.16650462
   58050.16650462   58050.49996527
   58050.49996527   58050.83310185
   58050.85109953   58050.85841435
   58050.85912037   58051.19222222
   58051.19222222   58051.52581018
   58051.52581018   58051.85903935
   58051.86995370   58051.87730324
   58051.87805555   58052.21106481
   58052.21106481   58052.54447916
   58052.54447916   58052.87788194
   58052.87788194   58053.21136574
   58053.21209490   58053.54502314
   58053.54502314   58053.87850694
   58053.87850694   58054.21196759
   58054.21196759   58054.54542824
   58054.54621527   58054.87910879
   58054.87910879   58055.21258101
   58055.21258101   58055.54601851
   58055.54601851   58055.87951388
   58055.88037037   58056.21322916
   58056.21322916   58056.54663194
   58056.54663194   58056.88009259
   58056.88009259   58057.21351851
   58057.21429398   58057.38766203
   58057.38855324   58057.72155092
   58057.72155092   58057.80256944
   58057.80598379   58057.81327546
   58057.81436342   58057.85065972
   58057.85229166   58057.93571759
   58057.93646990   58058.15972222
   58058.16090277   58058.49359953
   58058.49359953   58058.82715277
   58058.82715277   58059.16060185
   58059.16060185   58059.49406250
   58059.49473379   58059.82771990
   58059.82771990   58060.16119212
   58060.16119212   58060.49460648
   58060.49460648   58060.82815972
   58060.82912037   58061.16200231
   58061.16200231   58061.34978009
   58061.35285879   58061.36006944
   58061.36142361   58061.37069444
   58061.37143518   58061.70453703
   58061.70541666   58062.03839120
   58062.03839120   58062.37194444
   58062.37194444   58062.70540509
   58062.70540509   58063.03890046
   58063.03966435   58063.37256944
   58063.37256944   58063.70604166
   58063.70604166   58064.03958333
   58064.03958333   58064.37312499
   58064.37383101   58064.70685185
   58064.70685185   58065.04023148
   58065.04023148   58065.37366898
   58065.37366898   58065.70712962
   58065.70791666   58066.04042824
   58066.04274305   58066.09899305
   58066.10034722   58066.16155092
   58066.16280092   58066.49564814
   58066.49564814   58066.82908564
   58066.82908564   58067.16221064
   58067.35202546   58067.68502314
   58067.68502314   58068.01848379
   58068.01848379   58068.35202546
   58068.35202546   58068.68550925
   58068.68629629   58069.01930555
   58069.01930555   58069.35280092
   58069.35280092   58069.68630787
   58069.68630787   58070.01978009
   58070.02063657   58070.35354166
   58070.35354166   58070.68697916
   58070.68697916   58071.02040509
   58071.02040509   58071.35385416
   58071.35457175   58071.68752314
   58071.68752314   58072.02096064
   58072.02096064   58072.35440972
   58072.35518518   58072.68806712
   58072.68806712   58073.02111111
   58073.57379629   58073.58182870
   58073.58255787   58073.91503472
   58073.95086805   58073.95798611
   58073.95895833   58074.29199074
   58074.29199074   58074.62540509
   58074.62540509   58074.95886574
   58074.95886574   58075.29239583
   58075.29318287   58075.62607638
   58075.62607638   58075.95958333
   58075.95958333   58076.29307870
   58076.29307870   58076.62655092
   58076.62721064   58076.96019675
   58076.96019675   58077.29362268
   58077.29362268   58077.62704861
   58077.62704861   58077.95996527
   58077.98753472   58077.99476851
   58077.99567129   58078.32817129
   58078.33052083   58078.33749999
   58078.33957175   58078.67245370
   58078.67245370   58079.00603009
   58079.00603009   58079.33953703
   58079.33953703   58079.67312499
   58079.67387731   58080.00675925
   58080.00675925   58080.34018518
   58080.34018518   58080.67365740
   58080.67365740   58081.00712962
   58081.00796296   58081.34086805
   58081.34086805   58081.67429398
   58081.67429398   58081.92487268
   58081.92563657   58082.25865740
   58082.25865740   58082.59211805
   58082.59211805   58082.92568287
   58082.92568287   58083.25920138
   58083.26010416   58083.59304398
   58083.59304398   58083.92650462
   58083.92650462   58084.16274305
   58084.16387731   58084.49649305
   58084.49649305   58084.82995370
   58084.82995370   58084.89238425
   58084.92538194   58085.03589120
   58085.08664351   58085.25465277
   58085.26479166   58085.39782407
   58085.41493055   58085.74783564
   58085.74783564   58085.89395833
   58085.89665509   58085.92038194
   58085.92149305   58085.95510416
   58085.95629629   58086.02482638
   58086.02694444   58086.04596064
   58086.04809027   58086.06545138
   58086.06693287   58086.08489583
   58086.08733796   58086.10438657
   58086.11315972   58086.44621527
   58086.44621527   58086.77968750
   58086.77968750   58086.85690972
   58086.85957175   58086.86678240
   58086.86938657   58086.87731481
   58086.88238425   58086.89244212
   58086.89378472   58086.93093749
   58086.93211805   58086.93954861
   58086.94103009   58086.94834490
   58086.94946759   58087.28238425
   58087.28238425   58087.61590277
   58087.61590277   58087.87084490
   58087.87199074   58088.13856481
   58088.14003472   58088.15273148
   58088.15418981   58088.16252314
   58088.16351851   58088.49652777
   58088.49652777   58088.81196759
   58088.81572916   58089.14870370
   58089.14870370   58089.48214120
   58089.48214120   58089.81563657
   58089.81563657   58090.14914351
   58090.14996527   58090.48283564
   58090.48283564   58090.81633101
   58090.81633101   58091.14983796
   58091.14983796   58091.48337962
   58091.48406249   58091.81699074
   58091.81699074   58092.15045138
   58092.15045138   58092.48401620
   58092.48401620   58092.81749999
   58092.81827546   58093.15115740
   58093.15115740   58093.48465277
   58093.48465277   58093.81814814
   58093.81814814   58093.85798611
   58093.85903935   58094.00468750
   58094.00855324   58094.11590277
   58094.12271990   58094.45581018
   58094.45581018   58094.78928240
   58094.78928240   58095.12275462
   58095.12275462   58095.45621527
   58095.45917824   58095.79187500
   58095.79187500   58096.12533564
   58096.12533564   58096.45891203
   58096.45891203   58096.79246527
   58096.79354166   58097.12246527
   58097.12400462   58097.18026620
   58097.18217592   58097.26388888
   58097.27393518   58097.28121527
   58097.28315972   58097.61579861
   58097.61579861   58097.94931712
   58097.94931712   58098.28283564
   58098.28283564   58098.61634259
   58098.61694444   58098.85584490
   58098.86241898   58099.06598379
   58099.06754629   58099.09438657
   58099.09626157   58099.10365740
   58099.10439814   58099.43747685
   58099.43747685   58099.77093750
   58099.77093750   58100.00837962
   58100.01009259   58100.02015046
   58100.02145833   58100.07115740
   58100.07277777   58100.22528935
   58100.22603009   58100.55913194
   58100.55913194   58100.89262731
   58100.89349537   58101.22630787
   58101.22634259   58101.55979166
   58101.55979166   58101.88357638
   58101.88519675   58102.14392361
   58102.19026620   58102.29092592
   58102.29339120   58102.62630787
   58102.62630787   58102.95998842
   58102.96068287   58103.29311342
   58103.29499999   58103.62800925
   58103.62800925   58103.96146990
   58103.96146990   58104.29493055
   58104.29493055   58104.62841435
   58104.62921296   58104.91519675
   58104.91693287   58104.94431712
   58104.94552083   58105.27841435
   58105.27841435   58105.61192129
   58105.61192129   58105.94539351
   58105.94539351   58106.27886574
   58106.27952546   58106.61253472
   58106.61253472   58106.94598379
   58106.94598379   58107.27940972
   58107.27940972   58107.61291666
   58107.61363425   58107.94656249
   58107.94656249   58108.27002314
   58108.27118055   58108.31458333
   58108.31606481   58108.64907407
   58108.64907407   58108.98254629
   58108.98254629   58109.31611111
   58109.31611111   58109.64959490
   58109.65042824   58109.98337962
   58109.98337962   58110.31685185
   58110.31685185   58110.65028935
   58110.65028935   58110.98376157
   58110.98442129   58111.31745370
   58111.31745370   58111.65099537
   58111.65099537   58111.98444444
   58111.98444444   58112.31797453
   58112.31871527   58112.65167824
   58112.65167824   58112.98469907
   58112.98592592   58113.31893518
   58113.31893518   58113.65261574
   58113.65261574   58113.98634259
   58113.98634259   58114.03291666
   58114.03418981   58114.36663194
   58114.36663194   58114.70028935
   58114.70028935   58115.03386574
   58115.03386574   58115.36755787
   58115.36821759   58115.70120370
   58115.70120370   58115.97802083
   58115.98293981   58115.98997685
   58115.99181712   58116.00968750
   58116.01151620   58116.02776620
   58116.02841435   58116.06878472
   58116.07016203   58116.07837962
   58116.08016203   58116.41314814
   58116.41314814   58116.53285879
   58116.53372685   58116.86315972
   58117.16619212   58117.25048611
   58117.95339120   58117.96083333
   58117.96177083   58118.29476851
   58118.29476851   58118.62836805
   58118.62836805   58118.96212962
   58118.96212962   58118.99928240
   58119.02818287   58119.23906250
   58119.24408564   58119.41451388
   58119.41534722   58119.74799768
   58119.74799768   58120.08171296
   58120.08171296   58120.41527777
   58120.41527777   58120.74886574
   58120.74991898   58121.08295138
   58121.08295138   58121.41665509
   58121.41665509   58121.75028935
   58121.75028935   58122.08405092
   58122.08517361   58122.41815972
   58122.41815972   58122.75177083
   58122.75177083   58122.96144675
   58122.96251157   58123.29386574
   58123.30153935   58123.32167824
   58123.32482638   58123.33195601
   58123.33349537   58123.34354166
   58123.34487268   58123.67776620
   58123.67776620   58124.01137731
   58124.01137731   58124.34505787
   58124.34505787   58124.67866898
   58124.67961805   58125.01255787
   58125.01255787   58125.34614583
   58125.34614583   58125.67980324
   58125.67980324   58126.01002314
   58126.01182870   58126.02011574
   58126.02188657   58126.06969907
   58126.07142361   58126.12972222
   58126.13134259   58126.19979166
   58126.20122685   58126.21003472
   58126.21083333   58126.54384259
   58126.54384259   58126.87258101
   58126.87979166   58127.21252314
   58127.21252314   58127.54611111
   58127.54611111   58127.87983796
   58127.87983796   58128.21356481
   58128.21451388   58128.32129629
   58128.32201388   58128.65483796
   58128.65483796   58128.98847222
   58128.98847222   58129.32203703
   58129.32203703   58129.65561342
   58129.65659722   58129.98870370
   58129.99197916   58129.99951388
   58130.00109953   58130.01585648
   58130.01759259   58130.10646990
   58130.10749999   58130.44049768
   58130.44049768   58130.77405092
   58130.77405092   58131.10774305
   58131.10774305   58131.44130787
   58131.44218750   58131.74854166
   58131.74951388   58132.08218749
   58132.08218749   58132.41583333
   58132.41583333   58132.74949074
   58132.74949074   58133.08306712
   58133.08412037   58133.41697916
   58133.41697916   58133.75056712
   58133.75056712   58134.08423611
   58134.08423611   58134.41791666
   58134.41877314   58134.75179398
   58134.75179398   58135.08547453
   58135.08547453   58135.41914351
   58135.41914351   58135.75281250
   58135.75381944   58135.91240740
   58135.91401620   58136.24677083
   58136.24677083   58136.58045138
   58136.58045138   58136.91409722
   58136.91409722   58137.24768518
   58137.24888888   58137.58170138
   58137.58170138   58137.91371527
   58137.91528935   58138.24825231
   58138.24825231   58138.58185185
   58138.58185185   58138.79453703
   58138.79668981   58138.93270833
   58138.93412037   58139.01737268
   58139.01827546   58139.35122685
   58139.35122685   58139.68480324
   58139.68480324   58140.01849537
   58140.01849537   58140.03722222
   58140.04914351   58140.14615740
   58140.14710648   58140.48015046
   58140.48015046   58140.81387731
   58140.81387731   58141.05402777
   58141.08199074   58141.16559027
   58141.16616898   58141.49920138
   58141.49920138   58141.83285879
   58141.83285879   58142.16652777
   58142.16652777   58142.50012731
   58142.50108796   58142.83406249
   58142.83406249   58143.01373842
   58143.08086805   58143.08880787
   58143.08936342   58143.42240740
   58143.42240740   58143.75611111
   58143.75611111   58144.08972222
   58144.08972222   58144.42334490
   58144.42468750   58144.75732638
   58144.75732638   58145.09092592
   58145.09092592   58145.42452546
   58145.42452546   58145.75821759
   58145.75895833   58146.09196759
   58146.09196759   58146.42561342
   58146.42561342   58146.75921296
   58146.75921296   58147.01795138
   58147.01945601   58147.02954861
   58147.03097222   58147.03918981
   58147.04021990   58147.18195601
   58147.35954861   58147.69260416
   58147.69260416   58147.82115740
   58148.35267361   58148.43915509
   58148.44015046   58148.77313657
   58148.77313657   58149.10681712
   58149.10681712   58149.44052083
   58149.44052083   58149.77062499
   58149.77219907   58149.78746527
   58149.78844907   58149.80342592
   58149.80407407   58149.81912037
   58149.81976851   58149.83473379
   58149.83541666   58149.84983796
   58149.85100694   58150.18407407
   58150.18407407   58150.51761574
   58150.51761574   58150.85119212
   58150.85231481   58151.18526620
   58151.18526620   58151.51890046
   58151.51890046   58151.85259259
   58151.85325231   58152.18621527
   58152.18621527   58152.51979166
   58152.51979166   58152.85350694
   58152.85449074   58153.18745370
   58153.18745370   58153.52108796
   58153.52108796   58153.85472222
   58153.85583333   58154.18878472
   58154.18878472   58154.24474537
   58154.24564814   58154.57834490
   58154.57834490   58154.91207175
   58154.91207175   58155.24565972
   58155.24666666   58155.57965277
   58155.57965277   58155.91325231
