#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   57136.34489068          4.75          0.36       113.156       -23.483       312.892        66.482
   57136.34645681          3.23          0.99        42.552        23.119        24.007       113.183
   57136.34723473          4.54          0.20       284.361       -33.325       142.441        56.694
   57136.35229873          4.40          0.20       220.698        -8.090       207.975        81.842
   57136.35441263          2.95          0.27       231.095        36.803       198.396       126.745
   57136.35445105          2.95          0.81        47.164        24.776        22.278       114.835
   57136.35549487          2.65          3.23        18.205        11.730        51.635       101.809
   57136.35577213          3.14          0.98       295.012        15.093       134.948       105.123
   57136.35844443          3.19          0.25        36.404         8.657        34.499        98.725
   57136.36164870          3.48          0.53       223.251        20.628       208.826       110.562
   57136.36331024          4.42          0.20       160.918       -13.135       271.747        76.783
   57136.36413096          2.92          0.41        45.552         2.578        27.408        92.637
   57136.36928847          3.46          1.52        26.365        14.694        48.451       104.769
   57136.36987255          2.59          1.13       104.380        23.573       330.616       113.556
   57136.37350229          3.00          0.60       239.502         6.848       196.843        96.801
   57136.38355447          3.94          0.22        36.279        -8.796        43.703        81.272
   57136.38360786          3.01          0.38       205.828         4.079       234.157        94.001
   57136.38398131          4.96          0.20       169.967       -49.851       270.171        40.063
   57136.38489686          2.69          0.66        79.869        17.862         0.563       107.879
   57136.38697358          5.24          0.20       255.096       -36.994       186.042        52.983
   57136.38912167          2.83          0.69       276.061        10.658       165.931       100.662
   57136.39208696          2.93          0.71       229.492        45.531       213.613       135.473
   57136.39243426          2.88          9.44        90.330        75.861       352.526       165.866
   57136.39249010          5.36          0.40       340.279       -35.886       102.897        54.193
   57136.40218836          3.69          0.20       161.942        -6.228       284.753        83.691
   57136.40226517          4.05          0.20        68.167       -11.401        18.576        78.629
   57136.40600272          3.48          0.80        70.988        24.726        17.053       114.755
   57136.41164111          3.10          0.50       259.994        56.585       190.230       146.564
   57136.41663983          2.85          0.76       320.908        16.859       131.023       106.918
   57136.41972439          3.00          0.81        15.318        -0.046        77.713        90.032
   57136.42623972          4.67          0.23       339.498       -56.231       115.840        33.848
   57136.43242619          2.98          0.43       294.114         8.251       163.507        98.280
   57136.43517674          2.92          0.43       196.295         7.309       262.307        97.228
   57136.43593453          5.22          0.20       242.376       -36.828       216.442        53.132
   57136.43665091          2.96          0.77       187.244        17.847       271.890       107.764
   57136.43860044          4.42          0.21       247.125       -14.875       212.690        75.090
   57136.44312993          4.25          0.20       177.413       -18.749       284.059        71.166
   57136.44319473          4.69          0.20       207.088       -45.090       254.367        44.834
   57136.44852983          3.29          0.48        52.742        18.863        50.666       108.913
   57136.44893377          2.93          2.35       141.258         7.491       322.304        97.427
   57136.45016081          2.85          0.78       337.125        59.787       126.951       149.857
   57136.45052743          2.98          0.84       300.005        70.073       164.336       160.107
   57136.45547657          2.90          0.71       340.705        -2.731       125.229        87.344
   57136.45864128          2.89          2.21        24.171        18.726        82.899       108.799
   57136.46142300          3.23          0.20       334.351        66.233       133.817       156.301
   57136.46523161          2.67          0.75       138.613        33.614       330.803       123.555
   57136.47280521          3.15          1.56       108.327         9.142         3.850        99.117
   57136.47347789          2.93          0.28       358.218        -1.274       114.216        88.805
   57136.47725366          3.05          1.33       202.946        54.079       270.881       144.003
   57136.47799480          5.14          0.37       272.733       -34.438       201.269        55.566
   57136.48090670          5.20          0.20       182.621       -52.415       292.480        37.500
   57136.48204811          4.73          0.20        50.274       -27.539        65.288        62.511
   57136.48220141          3.17          0.23        71.232        39.268        44.291       129.295
   57136.48464595          1.95          1.09        71.101        23.443        45.332       113.469
   57136.48469743          3.10          1.11        93.011        23.007        23.439       113.004
   57136.48490620          4.70          0.35       142.142       -29.614       334.440        60.318
   57136.48510546          2.88          0.54       239.683        40.189       236.997       130.145
   57136.48971248          4.61          0.25        32.778       -23.288        85.537        66.778
   57136.49298233          2.30          3.78       144.547        81.448       334.601       171.387
   57136.49857639          3.24          0.63        23.233         9.531        98.257        99.603
   57136.50118580          4.86          0.20       107.964       -43.171        14.543        46.799
   57136.50150324          2.90          1.35        63.073        23.231        59.449       113.267
   57136.50389963          2.91          0.68       287.125        51.631       196.381       141.649
   57136.50508064          3.21          0.74       252.434        29.362       231.443       119.334
   57136.50549981          2.52          3.69        77.132        44.671        46.786       134.690
   57136.51752900          2.77          0.92       272.022        26.205       216.346       116.204
   57136.51811941          2.83          3.33       121.781        17.797         6.742       107.754
   57136.52208236          3.15          4.22       268.805        66.431       221.347       156.425
   57136.52325498          4.59          0.21        43.900       -22.146        86.528        67.910
   57136.52553362          3.02          2.96       226.562        68.473       264.794       158.417
   57136.53290678          5.08          0.20       242.159       -27.478       251.682        62.485
   57136.53656670          4.76          0.20       169.961       -38.644       325.249        51.274
   57136.53943160          2.97          1.51       283.881        24.955       212.392       114.972
   57136.54222120          2.70          0.90       309.476        12.608       187.783       102.656
   57136.54235969          2.68          1.53       222.952        31.294       274.371       121.235
   57136.54491404          3.16          0.43       333.246        -3.190       164.972        86.880
   57136.54611731          2.93          1.05         0.138        52.307       138.519       142.383
   57136.54860656          2.76          1.88        58.505        38.837        80.996       128.878
   57136.55649133          2.91          0.44        57.447        18.248        84.933       108.289
   57136.55791753          4.77          0.20       149.670       -59.326       353.303        30.599
   57136.55938225          5.51          0.35       195.531       -37.461       307.885        52.460
   57136.56422797          3.12          2.38       304.522        31.345       200.707       121.388
   57136.56898613          2.99          0.96       190.710         0.057       316.193        89.977
   57136.57354847          4.66          0.20       318.626       -22.695       189.908        67.366
   57136.57615896          2.99          0.55        68.048        -3.620        81.458        86.406
   57136.58005654          3.27          0.75       290.804         7.794       220.109        97.822
   57136.58219612          2.98          0.32        34.083        -6.101       117.603        83.961
   57136.58289840          3.21          0.56       213.302        40.641       298.660       130.574
   57136.58303925          2.98          0.68       258.792         1.330       253.187        91.315
   57136.58678280          2.84          1.58       146.922         2.477         6.406        92.407
   57136.59261015          3.00          0.71        31.449         2.583       123.990        92.648
   57136.59334230          2.75          0.65       313.786        16.191       201.931       106.245
   57136.59439491          5.62          0.20       153.546       -39.955         2.558        49.968
   57136.59491674          3.32          1.11        21.142        22.785       135.118       112.856
   57136.59608347          3.06          0.27       174.744        43.854       341.936       133.776
   57136.59806544          3.58          0.33        47.851         0.100       109.559        90.149
   57136.59905690          5.41          0.34       348.327       -44.028       169.428        46.052
   57136.60078303          3.73          2.23        74.979        -9.539        83.424        80.477
   57136.60094043          3.87          2.10       192.773         2.879       325.666        92.800
   57136.60192837          2.83          0.68       113.393         7.399        45.398        97.364
   57136.60588265          4.84          0.20         9.726       -24.280       150.513        65.797
   57136.61194414          2.91          0.71       168.552         1.835       353.859        91.754
   57136.61341802          3.21          0.50       180.155        -0.015       342.787        89.904
   57136.61632926          3.81          0.78        51.513        78.831       112.181       168.879
   57136.61655792          3.13          0.29       333.959        29.179       190.142       119.248
   57136.61761712          2.88          0.29       239.694         9.863       284.776        99.823
   57136.61823513          2.93          0.76       143.791        30.945        20.866       120.879
   57136.61999902          3.10          0.85       104.336         1.755        60.986        91.729
   57136.62030604          3.08          2.18       230.961         1.956       294.469        91.906
   57136.62587847          3.03          1.51        32.375        13.548       135.065       103.612
   57136.62992515          3.26          1.31       106.289        19.709        62.592       109.682
   57136.63191551          4.85          0.20       212.631       -37.313       316.950        52.620
   57136.63562054          2.99          2.10       124.399         5.443        46.557        95.393
   57136.63874175          5.00          0.70       226.007       -26.491       306.045        63.456
   57136.64368074          3.01          1.08       261.750        26.360       272.157       116.349
   57136.64502858          3.47          0.92       190.422        -0.779       343.931        89.142
   57136.64731094          3.07          0.96       183.908        14.290       351.272       104.209
   57136.64827381          3.14          1.22       178.376        30.033       357.149       119.952
   57136.65004154          4.69          0.22       168.461       -40.775         7.712        49.142
   57136.65295325          2.61          3.35       200.731        28.052       336.499       117.978
   57136.66017172          2.86          1.80       108.334        69.624        71.294       159.598
   57136.66204134          2.86          1.55       121.581        25.221        58.887       115.174
   57136.66258661          2.94          0.37        48.893        -0.509       131.809        89.538
   57136.67254196          2.79          0.46       151.034        -4.821        33.257        85.104
   57136.67996115          2.82          0.39       190.806        54.276       356.183       144.198
   57136.68054471          3.31          2.67       157.433        14.088        29.736       104.010
   57136.68061456          2.62          1.88        43.339        82.183       143.466       172.238
   57136.68757887          3.05          1.39        72.476        47.746       117.161       137.765
   57136.69072470          4.81          0.20       297.651       -40.444       253.143        49.601
   57136.69183012          2.77          1.77        81.033         8.662       110.211        98.668
   57136.69456451          2.48          1.08       343.105         4.797       209.139        94.875
   57136.69692685          3.59          1.58       304.992         7.555       248.109        97.604
   57136.70028263          2.94          1.21       127.649        33.545        66.614       123.492
   57136.70516653          2.66          3.01       282.287        50.510       273.872       140.528
   57136.71134015          2.84          0.89        44.811         0.944       153.488        90.995
   57136.71369390          4.60          0.21       288.688       -38.042       270.396        51.993
   57136.71453187          3.09          0.92       326.316        45.374       233.174       135.441
   57136.71629405          2.79          0.67       251.322        38.464       308.819       128.441
   57136.71775922          3.32          0.22        74.902         0.911       125.713        90.924
   57136.71788196          2.79          0.60        83.720        14.521       116.920       104.522
   57136.71789507          3.14          2.71       144.614        10.528        56.038       100.456
   57136.71828748          5.65          0.20       220.081       -36.192       340.673        53.749
   57136.72021206          3.20          1.29        18.887        32.569       182.595       122.642
   57136.72029087          5.67          2.92        71.116       -47.016       130.502        43.000
   57136.72046479          4.75          0.20       283.590       -63.385       277.839        26.645
   57136.72274807          3.02          0.32       131.308        15.505        71.089       105.445
   57136.72633896          4.74          0.20        54.095       -70.563       149.829        19.478
   57136.72983535          2.94          1.20        81.281         6.800       123.685        96.804
   57136.73444839          3.14          0.76        65.108        26.882       141.495       116.910
   57136.73814096          5.43          0.26       249.982       -35.998       317.925        53.981
   57136.74050571          2.85          0.29        57.182        16.976       151.625       107.013
   57136.74430495          2.97          1.71       233.766        58.342       336.534       148.297
   57136.74556225          3.01          0.24       264.610        24.632       306.073       114.628
   57136.75766961          2.99          0.55       312.294        32.896       262.762       122.952
   57136.76287390          2.79          0.46       185.300        68.012        31.624       157.932
   57136.76800144          2.98          0.97       236.428         0.650       342.317        90.609
   57136.77221007          3.31          0.57       108.412         4.543       111.852        94.508
   57136.77583977          5.52          0.84       151.109       -33.311        70.489        56.608
   57136.77629572          2.81          0.79       216.301         0.527         5.437        90.462
   57136.77932274          4.49          0.20       101.044       -14.870       121.816        75.104
   57136.78347558          3.46          0.64       217.543        20.628         6.808       110.564
   57136.78487433          3.10          0.46       208.483        64.836        16.444       154.766
   57136.78525215          5.20          0.20        98.930       -36.180       126.109        53.795
   57136.78561157          4.75          0.20       205.984       -72.087        18.969        17.840
   57136.78627462          2.95          0.49       177.405         0.432        47.936        90.346
   57136.78768819          3.01          0.42         7.288        41.506       218.558       131.585
   57136.78793275          2.92          0.34       146.894        -0.030        79.048        89.893
   57136.78944216          3.20          2.25        85.585        26.223       140.866       116.222
   57136.80037637          3.38          0.57       262.653        20.448       327.811       110.442
   57136.80061447          2.98          0.50       157.076        27.016        73.430       116.936
   57136.80724207          2.79          0.89       168.972        62.012        63.919       151.930
   57136.80788841          2.93          0.55       263.895         8.916       329.263        98.913
   57136.81101714          3.04          1.41         8.408         1.079       225.874        91.160
   57136.81198852          5.53          0.43       143.648       -33.006        91.007        56.916
   57136.81333006          4.91          0.23        80.078       -65.290       155.227        24.712
   57136.81422538          2.75          0.43       124.591        14.432       110.828       104.376
   57136.81816713          5.19          0.22       346.011       -57.493       250.834        32.594
   57136.82144957          5.35          0.99       152.093       -48.881        85.984        41.036
   57136.82640412          2.86          0.34       353.977         0.594       245.859        90.678
   57136.82955367          5.57          1.01       308.321       -62.792       292.528        27.271
   57136.83177385          2.86          0.33        23.424        15.685       218.340       105.758
   57136.83436266          3.14          0.91       136.809        24.785       105.870       114.717
   57136.83494907          2.70          0.79       244.133         8.416       358.790        98.384
   57136.83618238          3.01          0.26       223.565        37.978        19.841       127.920
   57136.84292771          3.11          0.50       250.580         9.076       355.226        99.053
   57136.84395787          3.05          1.01       260.712        16.516       345.478       106.508
   57136.85434921          4.92          0.25        30.158       -26.288       219.792        63.781
   57136.85470892          3.14          0.43       280.353        29.085       329.740       119.104
   57136.85667127          4.68          0.90       350.423       -57.285       260.332        32.803
   57136.85765073          4.95          0.20       195.442       -53.400        55.619        36.516
   57136.86001645          3.47          0.75       254.450        44.670       357.594       134.651
   57136.86642170          2.85          0.29       319.236        12.567       295.054       102.635
   57136.86681299          2.94          1.67        56.955        23.304       197.436       113.344
