#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56043.68288666          2.82          0.27       344.664        23.612       206.095       113.673
   56043.68846000          3.13          0.56       185.697        42.175         7.069       132.110
   56043.68998358          2.86          0.48       128.273         4.792        65.034        94.746
   56043.69154847          2.81          0.47       333.892        25.044       219.999       115.102
   56043.69308656          3.01          1.01       128.875        30.712        65.528       120.668
   56043.70148501          3.29          0.72       167.008         7.618        30.451        97.551
   56043.70944929          2.47          0.53       140.987        28.075        59.330       118.021
   56043.70952779          3.26          0.67        11.924         5.313       188.446        95.375
   56043.71238992          2.98          0.95       232.094        40.553       329.347       130.514
   56043.71888090          3.20          1.51        20.011        20.598       183.727       110.657
   56043.71901654          3.81          0.28        92.480        -5.743       111.322        84.246
   56043.71979700          3.09          0.43        78.106        59.379       125.863       149.389
   56043.72497200          3.06          0.65       154.683         5.515        51.254        95.451
   56043.72593072          2.82          0.51        35.109        -1.285       171.186        88.764
   56043.73117187          5.67          0.20       359.037       -44.046       209.153        46.023
   56043.73272690          2.90          1.98        86.078        12.243       122.653       102.241
   56043.73600731          3.15          1.38        39.104        30.825       170.800       120.872
   56043.73703558          4.95          0.28       195.305       -25.012        14.976        64.922
   56043.74895530          2.79          0.47       231.675         4.735       342.924        94.696
   56043.75268398          2.97          0.99       280.451        19.083       295.515       109.098
   56043.75354480          2.64          1.14       312.738        24.360       263.539       114.406
   56043.76036738          3.30          1.63        54.072        -0.090       164.652        89.943
   56043.77162519          3.32          0.64        72.122         9.104       150.655        99.118
   56043.77206943          3.04          1.82       158.409        10.183        64.528       100.116
   56043.78010020          3.14          1.06       357.729        19.435       228.116       109.501
   56043.78347216          4.63          0.40       167.371       -22.166        59.689        67.762
   56043.78671083          3.22          0.44        77.652         0.432       150.581        90.439
   56043.78822370          3.19          2.65       205.072        17.574        23.708       107.513
   56043.78955190          2.86          1.02       351.350        29.525       237.911       119.590
   56043.79314662          2.83          0.38       157.930         7.638        72.617        97.570
   56043.79329056          5.38          0.26       203.566       -42.100        27.001        47.837
   56043.79491007          3.23          0.31       205.433         3.105        25.752        93.044
   56043.80146183          2.85          4.20       171.308        71.360        62.223       161.294
   56043.80634434          3.99          0.20       138.745        -9.210        96.577        80.730
   56043.81270773          4.57          0.20       259.675       -18.895       337.910        71.098
   56043.81936108          3.37          0.86       216.754         8.570        23.263        98.516
   56043.81988535          3.40          0.95       301.030        31.522       299.209       121.560
   56043.82641284          5.17          0.20       340.603       -29.359       261.952        60.710
   56043.83306014          2.81          1.52       203.997        17.703        40.969       107.640
   56043.83461767          4.93          0.25       331.881       -34.217       273.626        55.850
   56043.83702616          5.19          0.20       121.858       -66.342       124.664        23.610
   56043.84074878          3.15          1.57       272.124        31.792       335.652       121.797
   56043.84305315          3.05          0.42       107.629        21.866       140.914       111.839
   56043.84311398          3.06          0.37        30.457        69.219       218.038       159.276
   56043.84495352          3.16          0.55       119.890         2.410       129.362        92.367
   56043.84668626          2.54          5.44       315.254        81.589       294.937       171.638
   56043.84961360          3.15          2.30       222.039        48.392        28.947       138.342
   56043.85075788          5.09          0.20       282.928       -25.686       328.386        64.337
   56043.86082212          2.93          1.02        98.549        62.963       156.302       152.949
   56043.86121463          3.06          0.79       233.918         1.787        21.203        91.749
   56043.86621654          4.59          0.20       125.091       -21.896       131.861        68.053
   56043.86746578          5.18          0.27       304.794       -25.539       312.560        64.508
   56043.86851653          4.31          0.20       135.911       -13.912       121.859        76.029
   56043.87004660          3.42          0.55       266.213        18.413       352.119       108.412
   56043.87035884          2.75          0.34       358.228        21.677       260.199       111.746
   56043.87547597          4.69          0.20        22.486       -17.610       237.802        72.452
   56043.87557909          3.18          1.92       162.380        27.935        97.917       117.865
   56043.87736449          3.20          1.07       235.532        16.985        25.435       106.947
   56043.87754706          3.13          3.50        84.033         9.474       176.978        99.474
   56043.87972250          5.10          0.40       346.444       -59.507       275.349        30.567
   56043.88145149          4.57          0.20        69.785       -14.279       192.666        75.738
   56043.88378124          2.95          1.36       203.790        44.825        59.507       134.761
   56043.88493669          3.54          0.53        12.854         2.294       250.836        92.361
   56043.89470659          4.90          0.20       198.270       -43.080        68.910        46.850
   56043.89637544          5.01          0.20       277.855       -48.150       349.878        41.868
   56043.89677581          2.77          2.84       209.414        31.859        58.566       121.798
   56043.89689701          3.01          1.14       252.992        27.648        15.044       117.629
   56043.89997075          2.91          0.84       339.640        23.952       289.485       114.018
   56043.89998003          3.16          0.95       245.609        19.403        23.527       109.376
   56043.90164281          2.91          4.60       229.962        77.846        40.006       167.802
   56043.90393468          3.08          0.20       328.043        24.797       302.519       114.858
   56043.90464383          3.18          0.33       221.089        -7.173        49.700        82.774
   56043.90707561          4.25          0.20        25.081       -19.144       246.616        70.918
   56043.90960145          3.09          0.24       322.968        31.980       309.648       122.038
   56043.91005395          3.36          1.44       177.495        54.304        95.255       144.233
   56043.91177618          3.33          0.47        81.000        -2.744       192.383        87.260
   56043.91636942          5.07          0.42       341.560       -53.956       293.454        36.118
   56043.91771052          3.36          0.22       203.503        -8.179        72.005        81.754
   56043.91881049          3.31          1.63       110.260        63.254       165.526       153.227
   56043.92297169          2.60          1.62       225.246        70.111        52.310       160.062
   56043.92384858          3.20          1.88       143.914        10.062       133.811        99.999
   56043.92490681          2.94          1.85       184.032        -1.839        94.079        88.086
   56043.93199497          2.83          0.36       130.893         1.922       149.779        91.868
   56043.93350559          3.00          0.27       276.201         4.084         5.021        94.095
   56043.93670353          3.11          0.62        79.729         7.087       202.639        97.094
   56043.93718640          2.86          0.30       138.207        -0.948       144.342        88.992
   56043.93901986          2.95          0.66        62.092        10.376       221.111       100.405
   56043.94023484          3.24          0.77       277.108        -2.265         6.535        87.748
   56043.94344307          3.01          0.39        93.620         9.494       191.178        99.483
   56043.94771100          2.90          0.23        83.747        52.670       202.509       142.674
   56043.94783269          3.37          0.20        47.014        24.591       239.357       114.637
   56043.94832340          2.79          0.60       230.106         5.931        56.463        95.886
   56043.94867605          5.55          0.20        33.040       -50.416       253.718        39.643
   56043.94930964          2.80          0.70       218.762        66.332        68.264       156.277
   56043.96689178          3.00          0.20       106.792         5.188       186.475        95.160
   56043.96750564          2.84          1.61        48.801        -0.392       244.698        89.651
   56043.96898318          4.09          1.54       311.083       -10.447       342.934        79.605
   56043.96930314          2.91          2.73       344.999        51.233       309.167       141.302
